Exchange Date,Open,OpenEURUSD,OpenUSDCHF,OpenUSDJPY,OpenNZDCAD
31-Dec-21,1.3494,1.1322,0.9134,115.06,0.8698
30-Dec-21,1.3486,1.1347,0.9146,114.95,0.8734
29-Dec-21,1.3434,1.1309,0.9171,114.8,0.873
28-Dec-21,1.344,1.1327,0.9174,114.85,0.8701
27-Dec-21,1.3385,1.1316,0.9189,114.38,0.8732
24-Dec-21,1.3408,1.1328,0.9186,114.36,0.8742
23-Dec-21,1.3352,1.1323,0.9202,114.08,0.8735
22-Dec-21,1.326,1.1277,0.9237,114.1,0.8734
21-Dec-21,1.3205,1.1275,0.9209,113.58,0.8685
20-Dec-21,1.3244,1.124,0.9241,113.62,0.8685
17-Dec-21,1.3318,1.1329,0.9189,113.65,0.868
16-Dec-21,1.3257,1.1284,0.925,114.01,0.8698
15-Dec-21,1.3239,1.1259,0.9244,113.71,0.8673
14-Dec-21,1.3216,1.1283,0.9229,113.56,0.8646
13-Dec-21,1.3235,1.1315,0.9207,113.25,0.8649
10-Dec-21,1.3219,1.1292,0.9234,113.5,0.8636
9-Dec-21,1.3203,1.134,0.9201,113.66,0.8615
8-Dec-21,1.3241,1.1266,0.9251,113.57,0.8579
7-Dec-21,1.3263,1.1285,0.9257,113.44,0.8607
6-Dec-21,1.324,1.1319,0.9173,112.77,0.8669
3-Dec-21,1.3306,1.13,0.9201,113.15,0.8724
2-Dec-21,1.3278,1.1319,0.9202,112.75,0.8723
1-Dec-21,1.3297,1.1337,0.9186,113.16,0.8715
30-Nov-21,1.3312,1.1289,0.9231,113.52,0.8691
29-Nov-21,1.334,1.1307,0.9237,113.35,0.8732
26-Nov-21,1.3318,1.1206,0.936,115.35,0.8675
25-Nov-21,1.3324,1.1196,0.9337,115.4,0.8704
24-Nov-21,1.3374,1.1246,0.9325,115.09,0.8798
23-Nov-21,1.3393,1.1235,0.931,114.9,0.8833
22-Nov-21,1.3453,1.1291,0.9285,113.96,0.8856
19-Nov-21,1.349,1.1369,0.9261,114.23,0.8864
18-Nov-21,1.3482,1.1318,0.9279,114.05,0.882
17-Nov-21,1.3429,1.1319,0.9296,114.82,0.8781
16-Nov-21,1.3421,1.1366,0.925,114.12,0.8817
15-Nov-21,1.3419,1.145,0.9207,113.9,0.8821
12-Nov-21,1.3371,1.1452,0.9204,114.05,0.8828
11-Nov-21,1.3403,1.148,0.9177,113.91,0.8813
10-Nov-21,1.3556,1.1591,0.9112,112.85,0.8861
9-Nov-21,1.356,1.1587,0.9129,113.21,0.8915
8-Nov-21,1.3495,1.1554,0.9124,113.43,0.8865
5-Nov-21,1.3492,1.1552,0.9128,113.73,0.8846
4-Nov-21,1.3682,1.161,0.9116,113.99,0.8868
3-Nov-21,1.361,1.1577,0.9142,113.94,0.8817
2-Nov-21,1.3664,1.1603,0.9089,113.98,0.8881
1-Nov-21,1.368,1.1557,0.9156,113.97,0.8878
29-Oct-21,1.3789,1.1678,0.9117,113.57,0.8885
28-Oct-21,1.3747,1.1604,0.918,113.81,0.8852
27-Oct-21,1.3767,1.1595,0.9202,114.13,0.8886
26-Oct-21,1.3766,1.1605,0.9196,113.69,0.8863
25-Oct-21,1.3753,1.1642,0.9155,113.59,0.8833
22-Oct-21,1.379,1.1621,0.9181,113.96,0.8843
21-Oct-21,1.3822,1.1648,0.9186,114.26,0.8872
20-Oct-21,1.3795,1.1632,0.9229,114.35,0.884
19-Oct-21,1.3726,1.1609,0.9237,114.31,0.8766
18-Oct-21,1.3749,1.1596,0.9237,114.21,0.8737
15-Oct-21,1.3671,1.1597,0.9231,113.67,0.8699
14-Oct-21,1.3655,1.1591,0.924,113.26,0.8659
13-Oct-21,1.3586,1.1526,0.9311,113.6,0.8638
12-Oct-21,1.3597,1.1553,0.9273,113.29,0.8664
11-Oct-21,1.3611,1.1569,0.9272,112.17,0.8667
8-Oct-21,1.3615,1.1549,0.9284,111.61,0.8685
7-Oct-21,1.3576,1.1554,0.9272,111.4,0.8697
6-Oct-21,1.363,1.1601,0.9279,111.47,0.8758
5-Oct-21,1.3613,1.1622,0.9251,110.87,0.8761
4-Oct-21,1.3545,1.1591,0.9307,111.03,0.8783
1-Oct-21,1.347,1.158,0.9317,111.27,0.8743
30-Sep-21,1.3422,1.1594,0.9341,111.96,0.8762
29-Sep-21,1.3534,1.1681,0.9295,111.48,0.8822
28-Sep-21,1.3697,1.1694,0.9256,110.99,0.8858
27-Sep-21,1.3678,1.1723,0.9244,110.68,0.8872
24-Sep-21,1.3718,1.1736,0.9241,110.31,0.8938
23-Sep-21,1.3626,1.1684,0.9262,109.77,0.895
22-Sep-21,1.3656,1.1724,0.9235,109.21,0.8982
21-Sep-21,1.3655,1.1724,0.9277,109.39,0.9008
20-Sep-21,1.3744,1.173,0.9318,109.97,0.8986
17-Sep-21,1.379,1.176,0.9275,109.76,0.8971
16-Sep-21,1.3835,1.1814,0.9199,109.36,0.8975
15-Sep-21,1.3809,1.1804,0.9197,109.66,0.9006
14-Sep-21,1.3832,1.181,0.9224,109.98,0.9009
13-Sep-21,1.3841,1.1812,0.9175,109.87,0.9017
10-Sep-21,1.3836,1.1824,0.9169,109.7,0.8991
9-Sep-21,1.3767,1.1815,0.9219,110.22,0.9005
8-Sep-21,1.3787,1.1838,0.9195,110.27,0.8976
7-Sep-21,1.3834,1.1868,0.9149,109.84,0.8943
6-Sep-21,1.3861,1.1877,0.9136,109.74,0.8968
3-Sep-21,1.383,1.1873,0.9141,109.95,0.8916
2-Sep-21,1.3774,1.1838,0.9151,109.99,0.8918
1-Sep-21,1.3751,1.1808,0.9148,110.01,0.889
31-Aug-21,1.3759,1.1795,0.9167,109.92,0.8812
30-Aug-21,1.3756,1.1791,0.9129,109.84,0.8838
27-Aug-21,1.3696,1.175,0.9175,110.08,0.8813
26-Aug-21,1.3759,1.177,0.9136,109.98,0.8777
25-Aug-21,1.3727,1.1752,0.9122,109.62,0.8749
24-Aug-21,1.3715,1.1744,0.9122,109.68,0.8712
23-Aug-21,1.3631,1.1692,0.9167,109.8,0.8749
20-Aug-21,1.364,1.1674,0.9186,109.73,0.8773
19-Aug-21,1.3755,1.1709,0.9167,109.74,0.8723
18-Aug-21,1.3739,1.1709,0.9143,109.56,0.8736
17-Aug-21,1.3848,1.1774,0.9121,109.21,0.8821
16-Aug-21,1.3837,1.1792,0.916,109.69,0.8808
13-Aug-21,1.3807,1.1729,0.9229,110.38,0.8767
12-Aug-21,1.3872,1.1736,0.9219,110.4,0.8804
11-Aug-21,1.3843,1.1718,0.9228,110.56,0.8772
10-Aug-21,1.3844,1.1736,0.9206,110.28,0.8789
9-Aug-21,1.3878,1.176,0.9144,110.25,0.8796
6-Aug-21,1.3928,1.1832,0.907,109.75,0.8821
5-Aug-21,1.3885,1.1835,0.9068,109.47,0.8838
4-Aug-21,1.3914,1.1862,0.9034,109.05,0.8793
3-Aug-21,1.3881,1.1866,0.9055,109.3,0.8717
2-Aug-21,1.3899,1.1862,0.9061,109.68,0.8716
30-Jul-21,1.3959,1.1886,0.9062,109.47,0.8721
29-Jul-21,1.3898,1.1843,0.9098,109.89,0.8703
28-Jul-21,1.3879,1.1815,0.9143,109.74,0.8762
27-Jul-21,1.3814,1.1802,0.9163,110.34,0.8783
26-Jul-21,1.3752,1.1776,0.9204,110.55,0.8765
23-Jul-21,1.3765,1.1767,0.9187,110.14,0.8747
22-Jul-21,1.3712,1.1791,0.9175,110.31,0.8752
21-Jul-21,1.3627,1.178,0.9213,109.83,0.8769
20-Jul-21,1.3676,1.1799,0.9179,109.42,0.8852
19-Jul-21,1.3785,1.1806,0.9191,109.91,0.8834
16-Jul-21,1.3828,1.1812,0.9175,109.86,0.879
15-Jul-21,1.3856,1.1835,0.9154,109.97,0.8793
14-Jul-21,1.3812,1.1774,0.9184,110.62,0.8691
13-Jul-21,1.3883,1.186,0.9149,110.38,0.869
12-Jul-21,1.39,1.187,0.9145,110.15,0.8702
9-Jul-21,1.3787,1.1842,0.9155,109.79,0.8715
8-Jul-21,1.3799,1.179,0.9254,110.63,0.8758
7-Jul-21,1.3799,1.1822,0.9241,110.62,0.8737
6-Jul-21,1.3842,1.1861,0.9221,110.95,0.8669
5-Jul-21,1.382,1.186,0.9207,111.04,0.8658
2-Jul-21,1.3767,1.1848,0.9255,111.52,0.8669
1-Jul-21,1.3827,1.1857,0.9247,111.09,0.8656
30-Jun-21,1.3837,1.1895,0.9204,110.51,0.8667
29-Jun-21,1.3883,1.1924,0.9193,110.62,0.8667
28-Jun-21,1.3882,1.1933,0.9176,110.74,0.8694
25-Jun-21,1.3921,1.193,0.9176,110.86,0.8698
24-Jun-21,1.3961,1.1925,0.9183,110.93,0.867
23-Jun-21,1.3946,1.1937,0.9176,110.63,0.8641
22-Jun-21,1.3927,1.1916,0.9176,110.3,0.8634
21-Jun-21,1.3809,1.1866,0.9204,110.25,0.8628
18-Jun-21,1.3919,1.1906,0.9179,110.19,0.8648
17-Jun-21,1.3986,1.1994,0.9086,110.69,0.8653
16-Jun-21,1.4079,1.2125,0.8976,110.06,0.8671
15-Jun-21,1.4112,1.2118,0.8998,110.06,0.8669
14-Jun-21,1.4117,1.2108,0.8984,109.63,0.8656
11-Jun-21,1.4175,1.2168,0.8942,109.32,0.8701
10-Jun-21,1.4119,1.218,0.8954,109.61,0.8694
9-Jun-21,1.4156,1.2171,0.8967,109.48,0.8716
8-Jun-21,1.4181,1.2189,0.8975,109.24,0.8731
7-Jun-21,1.4169,1.2166,0.8987,109.5,0.8706
4-Jun-21,1.4103,1.2127,0.9033,110.28,0.8647
3-Jun-21,1.4169,1.2208,0.8976,109.54,0.8711
2-Jun-21,1.4151,1.2212,0.8969,109.46,0.8762
1-Jun-21,1.4211,1.2225,0.899,109.57,0.8767
31-May-21,1.4178,1.219,0.8999,109.82,0.8746
28-May-21,1.4205,1.2193,0.8965,109.8,0.8798
27-May-21,1.4119,1.219,0.8982,109.13,0.8822
26-May-21,1.4151,1.2251,0.8956,108.77,0.8718
25-May-21,1.4155,1.2215,0.8971,108.72,0.8688
24-May-21,1.4157,1.2176,0.8978,108.93,0.8646
21-May-21,1.4188,1.2228,0.8972,108.76,0.8684
