Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,UK Pound Sterling/US Dollar FX Spot Rate | Price History                                          26-Jan-2022 16:32
31-Dec-2021,1.3529,1.3533,1.3550,1.3464,1.3494,63905,+0.0035,
30-Dec-2021,1.3494,1.3498,1.3521,1.3452,1.3486,53007,+0.0008,
29-Dec-2021,1.3486,1.3490,1.3499,1.3406,1.3434,57860,+0.0052,
28-Dec-2021,1.3434,1.3438,1.3461,1.3413,1.3440,56747,-0.0003,
27-Dec-2021,1.3437,1.3441,1.3445,1.3385,1.3385,40436,+0.0052,
24-Dec-2021,1.3385,1.3389,1.3420,1.3382,1.3408,91261,-0.0019,
23-Dec-2021,1.3404,1.3413,1.3437,1.3340,1.3352,73589,+0.0056,
22-Dec-2021,1.3348,1.3354,1.3363,1.3238,1.3260,70280,+0.0083,
21-Dec-2021,1.3265,1.3272,1.3271,1.3196,1.3205,91481,+0.0058,
20-Dec-2021,1.3207,1.3208,1.3244,1.3170,1.3244,91451,-0.0035,
17-Dec-2021,1.3242,1.3246,1.3339,1.3227,1.3318,97021,-0.0077,
16-Dec-2021,1.3319,1.3323,1.3374,1.3237,1.3257,92499,+0.0056,
15-Dec-2021,1.3263,1.3266,1.3282,1.3170,1.3239,102771,+0.0025,
14-Dec-2021,1.3238,1.3242,1.3256,1.3189,1.3216,98835,+0.0022,
13-Dec-2021,1.3216,1.3221,1.3268,1.3205,1.3235,97354,-0.0053,
10-Dec-2021,1.3269,1.3275,1.3275,1.3185,1.3219,100666,+0.0050,
09-Dec-2021,1.3219,1.3223,1.3222,1.3169,1.3203,116309,+0.0010,
08-Dec-2021,1.3209,1.3213,1.3261,1.3165,1.3241,142589,-0.0033,
07-Dec-2021,1.3242,1.3246,1.3289,1.3207,1.3263,135323,-0.0022,
06-Dec-2021,1.3264,1.3267,1.3286,1.3215,1.3240,128383,+0.0033,
03-Dec-2021,1.3231,1.3235,1.3309,1.3207,1.3306,94973,-0.0075,
02-Dec-2021,1.3306,1.3311,1.3333,1.3270,1.3278,103151,+0.0029,
01-Dec-2021,1.3277,1.3281,1.3351,1.3260,1.3297,128913,-0.0018,
30-Nov-2021,1.3295,1.3302,1.3370,1.3193,1.3312,150977,-0.0016,
29-Nov-2021,1.3311,1.3319,1.3362,1.3285,1.3340,97954,-0.0029,
26-Nov-2021,1.3340,1.3344,1.3367,1.3277,1.3318,139727,+0.0020,
25-Nov-2021,1.3320,1.3324,1.3353,1.3304,1.3324,111605,-0.0005,
24-Nov-2021,1.3325,1.3329,1.3389,1.3314,1.3374,104407,-0.0049,
23-Nov-2021,1.3374,1.3382,1.3409,1.3340,1.3393,129438,-0.0022,
22-Nov-2021,1.3396,1.3398,1.3457,1.3382,1.3453,150094,-0.0056,
19-Nov-2021,1.3452,1.3456,1.3509,1.3406,1.3490,88667,-0.0036,
18-Nov-2021,1.3488,1.3492,1.3513,1.3462,1.3482,116363,+0.0008,
17-Nov-2021,1.3480,1.3484,1.3496,1.3394,1.3429,121086,+0.0053,
16-Nov-2021,1.3427,1.3431,1.3472,1.3403,1.3421,109766,+0.0009,
15-Nov-2021,1.3418,1.3422,1.3449,1.3401,1.3419,97673,+0.0005,
12-Nov-2021,1.3413,1.3417,1.3426,1.3352,1.3371,81838,+0.0042,
11-Nov-2021,1.3371,1.3375,1.3433,1.3357,1.3403,89873,-0.0030,
10-Nov-2021,1.3401,1.3407,1.3565,1.3399,1.3556,99284,-0.0153,
09-Nov-2021,1.3554,1.3558,1.3607,1.3522,1.3560,89542,-0.0007,
08-Nov-2021,1.3561,1.3565,1.3579,1.3448,1.3495,87134,+0.0067,
05-Nov-2021,1.3494,1.3500,1.3508,1.3422,1.3492,85560,-0.0004,
04-Nov-2021,1.3498,1.3501,1.3698,1.3469,1.3682,125758,-0.0186,
03-Nov-2021,1.3684,1.3688,1.3691,1.3605,1.3610,113142,+0.0070,
02-Nov-2021,1.3614,1.3618,1.3679,1.3603,1.3664,109825,-0.0058,
01-Nov-2021,1.3672,1.3676,1.3693,1.3640,1.3680,87066,-0.0019,
29-Oct-2021,1.3691,1.3695,1.3803,1.3666,1.3789,108785,-0.0097,
28-Oct-2021,1.3788,1.3792,1.3814,1.3720,1.3747,119177,+0.0042,
27-Oct-2021,1.3746,1.3751,1.3781,1.3707,1.3767,92420,-0.0020,
26-Oct-2021,1.3766,1.3770,1.3829,1.3755,1.3766,89381,-0.0002,
25-Oct-2021,1.3768,1.3771,1.3791,1.3740,1.3753,94280,+0.0017,
22-Oct-2021,1.3751,1.3755,1.3814,1.3734,1.3790,94531,-0.0040,
21-Oct-2021,1.3791,1.3795,1.3833,1.3774,1.3822,75425,-0.0033,
20-Oct-2021,1.3824,1.3825,1.3834,1.3740,1.3795,73400,+0.0029,
19-Oct-2021,1.3795,1.3799,1.3833,1.3720,1.3726,70207,+0.0070,
18-Oct-2021,1.3725,1.3729,1.3765,1.3707,1.3749,71257,-0.0024,
15-Oct-2021,1.3749,1.3754,1.3773,1.3666,1.3671,77271,+0.0076,
14-Oct-2021,1.3673,1.3677,1.3734,1.3652,1.3655,64985,+0.0014,
13-Oct-2021,1.3659,1.3662,1.3664,1.3574,1.3586,102385,+0.0074,
12-Oct-2021,1.3585,1.3591,1.3637,1.3567,1.3597,77181,-0.0010,
11-Oct-2021,1.3595,1.3598,1.3673,1.3582,1.3611,72597,-0.0016,
08-Oct-2021,1.3611,1.3615,1.3655,1.3582,1.3615,71342,-0.0006,
07-Oct-2021,1.3617,1.3621,1.3638,1.3569,1.3576,82771,+0.0037,
06-Oct-2021,1.3580,1.3583,1.3635,1.3542,1.3630,97321,-0.0049,
05-Oct-2021,1.3629,1.3633,1.3647,1.3583,1.3613,106706,+0.0016,
04-Oct-2021,1.3613,1.3617,1.3639,1.3530,1.3545,76198,+0.0068,
01-Oct-2021,1.3545,1.3549,1.3575,1.3432,1.3470,84262,+0.0073,
30-Sep-2021,1.3472,1.3476,1.3517,1.3414,1.3422,102458,+0.0050,
29-Sep-2021,1.3422,1.3431,1.3554,1.3410,1.3534,92528,-0.0112,
28-Sep-2021,1.3534,1.3538,1.3717,1.3518,1.3697,102671,-0.0161,
27-Sep-2021,1.3695,1.3701,1.3728,1.3656,1.3678,72464,+0.0013,
24-Sep-2021,1.3682,1.3686,1.3736,1.3656,1.3718,67187,-0.0034,
23-Sep-2021,1.3716,1.3720,1.3750,1.3610,1.3626,84947,+0.0091,
22-Sep-2021,1.3625,1.3629,1.3689,1.3608,1.3656,92184,-0.0034,
21-Sep-2021,1.3659,1.3663,1.3692,1.3639,1.3655,80111,+0.0002,
20-Sep-2021,1.3657,1.3661,1.3751,1.3639,1.3744,72890,-0.0085,
17-Sep-2021,1.3742,1.3746,1.3812,1.3725,1.3790,63338,-0.0046,
16-Sep-2021,1.3788,1.3791,1.3852,1.3762,1.3835,80761,-0.0049,
15-Sep-2021,1.3837,1.3841,1.3853,1.3791,1.3809,72343,+0.0031,
14-Sep-2021,1.3806,1.3811,1.3912,1.3801,1.3832,80893,-0.0030,
13-Sep-2021,1.3836,1.3840,1.3850,1.3795,1.3841,66890,-0.0003,
10-Sep-2021,1.3839,1.3843,1.3888,1.3824,1.3836,87076,+0.0004,
09-Sep-2021,1.3835,1.3839,1.3862,1.3752,1.3767,77784,+0.0067,
08-Sep-2021,1.3768,1.3775,1.3790,1.3724,1.3787,90546,-0.0014,
07-Sep-2021,1.3782,1.3786,1.3856,1.3766,1.3834,90305,-0.0052,
06-Sep-2021,1.3834,1.3838,1.3869,1.3817,1.3861,55600,-0.0031,
03-Sep-2021,1.3865,1.3868,1.3891,1.3816,1.3830,75920,+0.0036,
02-Sep-2021,1.3829,1.3837,1.3839,1.3766,1.3774,69721,+0.0061,
01-Sep-2021,1.3768,1.3772,1.3798,1.3729,1.3751,78111,+0.0014,
31-Aug-2021,1.3754,1.3758,1.3806,1.3740,1.3759,70643,-0.0004,
30-Aug-2021,1.3758,1.3762,1.3775,1.3732,1.3756,44808,+0.0001,
27-Aug-2021,1.3757,1.3761,1.3780,1.3678,1.3696,83312,+0.0058,
26-Aug-2021,1.3699,1.3703,1.3768,1.3687,1.3759,68490,-0.0060,
25-Aug-2021,1.3759,1.3763,1.3766,1.3695,1.3727,55364,+0.0032,
24-Aug-2021,1.3727,1.3731,1.3747,1.3692,1.3715,45551,+0.0010,
23-Aug-2021,1.3717,1.3721,1.3732,1.3610,1.3631,57383,+0.0096,
20-Aug-2021,1.3621,1.3624,1.3648,1.3600,1.3640,79736,-0.0017,
19-Aug-2021,1.3638,1.3642,1.3758,1.3631,1.3755,83102,-0.0117,
18-Aug-2021,1.3755,1.3759,1.3785,1.3724,1.3739,66352,+0.0016,
17-Aug-2021,1.3739,1.3743,1.3853,1.3724,1.3848,62918,-0.0111,
16-Aug-2021,1.3850,1.3854,1.3877,1.3826,1.3837,67811,-0.0013,
13-Aug-2021,1.3863,1.3867,1.3875,1.3789,1.3807,57907,+0.0059,
12-Aug-2021,1.3804,1.3808,1.3878,1.3793,1.3872,67279,-0.0068,
11-Aug-2021,1.3872,1.3876,1.3887,1.3801,1.3843,63287,+0.0029,
10-Aug-2021,1.3843,1.3847,1.3872,1.3825,1.3844,105051,-0.0001,
09-Aug-2021,1.3844,1.3848,1.3894,1.3839,1.3878,60129,-0.0027,
06-Aug-2021,1.3871,1.3875,1.3934,1.3859,1.3928,61236,-0.0057,
05-Aug-2021,1.3928,1.3932,1.3948,1.3870,1.3885,72289,+0.0043,
04-Aug-2021,1.3885,1.3893,1.3957,1.3883,1.3914,68926,-0.0029,
03-Aug-2021,1.3914,1.3918,1.3938,1.3876,1.3881,68426,+0.0033,
02-Aug-2021,1.3881,1.3885,1.3932,1.3874,1.3899,61064,-0.0020,
30-Jul-2021,1.3901,1.3905,1.3983,1.3886,1.3959,75023,-0.0060,
