Exchange Date,Close,CloseNDAQO,CloseDIA,CloseUSO,CloseGLD
2-Jan-03,100,10.25,86.18,,
3-Jan-03,101,10.25,86.36,,
6-Jan-03,102.01,10.4,87.67,,
7-Jan-03,103.0301,10.3,87.72,,
8-Jan-03,104.060401,10.2,86.17,,
9-Jan-03,105.101005,9.5,87.78,,
10-Jan-03,106.1520151,9.25,87.99,,
13-Jan-03,107.2135352,10.01,88.09,,
14-Jan-03,108.2856706,9.2,88.44,,
15-Jan-03,109.3685273,9.8,87.68,,
16-Jan-03,110.4622125,9.75,87.3,,
17-Jan-03,111.5668347,9.5,86.11,,
21-Jan-03,112.682503,9.5,84.68,,
22-Jan-03,113.809328,9.35,83.36,,
23-Jan-03,114.9474213,9.25,83.44,,
24-Jan-03,116.0968955,9.2,81.4,,
27-Jan-03,117.2578645,9.29,80.15,,
28-Jan-03,118.4304431,9.2,80.76,,
29-Jan-03,119.6147476,9.11,81.08,,
30-Jan-03,120.810895,9.1,79.3,,
31-Jan-03,122.019004,9.1,80.84,,
3-Feb-03,123.239194,9.1,81.12,,
4-Feb-03,124.471586,9.2,80.48,,
5-Feb-03,125.7163018,9.1,80.12,,
6-Feb-03,126.9734649,9.08,79.67,,
7-Feb-03,128.2431995,9.19,78.85,,
10-Feb-03,129.5256315,9,79.43,,
11-Feb-03,130.8208878,8.1,78.7,,
12-Feb-03,132.1290967,7.9,77.73,,
13-Feb-03,133.4503877,8,78.02,,
14-Feb-03,134.7848915,8,79.6,,
18-Feb-03,136.1327404,8,80.85,,
19-Feb-03,137.4940679,8.1,80.54,,
20-Feb-03,138.8690085,7.95,79.62,,
21-Feb-03,140.2576986,7.95,80.24,,
24-Feb-03,141.6602756,8,78.71,,
25-Feb-03,143.0768784,7.75,79.33,,
26-Feb-03,144.5076471,7.77,78.26,,
27-Feb-03,145.9527236,7.9,79.04,,
28-Feb-03,147.4122509,7.75,79.31,,
3-Mar-03,148.8863734,7.75,78.59,,
4-Mar-03,150.3752371,7.8,77.26,,
5-Mar-03,151.8789895,,77.84,,
6-Mar-03,153.3977794,7.9,76.87,,
7-Mar-03,154.9317572,7.72,77.55,,
10-Mar-03,156.4810747,7.72,75.78,,
11-Mar-03,158.0458855,6.9,75.35,,
12-Mar-03,159.6263443,6.9,75.75,,
13-Mar-03,161.2226078,7,78.44,,
14-Mar-03,162.8348338,7,78.96,,
17-Mar-03,161.2064855,7,81.46,,
18-Mar-03,159.5944207,7.2,82.14,,
19-Mar-03,157.9984764,7.19,82.92,,
20-Mar-03,156.4184917,7.15,83.12,,
21-Mar-03,154.8543068,7,85.13,,
24-Mar-03,153.3057637,6.95,82.24,,
25-Mar-03,151.7727061,7,82.81,,
26-Mar-03,150.254979,7,82.38,,
27-Mar-03,148.7524292,7,82.03,,
28-Mar-03,147.2649049,6.95,81.57,,
31-Mar-03,145.7922559,6.95,79.82,,
1-Apr-03,144.3343333,7,80.79,,
2-Apr-03,142.89099,,82.75,,
3-Apr-03,141.4620801,6.5,82.37,,
4-Apr-03,140.0474593,6,82.89,,
7-Apr-03,138.6469847,6.15,82.93,,
8-Apr-03,137.2605148,6.2,83.2,,
9-Apr-03,135.8879097,5.37,82.24,,
10-Apr-03,134.5290306,5.5,82.46,,
11-Apr-03,133.1837403,5.32,82.2,,
14-Apr-03,131.8519029,5.32,83.84,,
15-Apr-03,130.5333839,5.28,84.4,,
16-Apr-03,129.22805,5.25,82.7,,
17-Apr-03,127.9357695,5.25,83.48,,
21-Apr-03,126.6564118,5.25,83.53,,
22-Apr-03,125.3898477,5.3,84.92,,
23-Apr-03,124.1359492,5.25,85.22,,
24-Apr-03,122.8945897,5.25,84.44,,
25-Apr-03,121.6656438,5.9,83.16,,
28-Apr-03,120.4489874,5.72,84.79,,
29-Apr-03,119.2444975,6.04,85.11,,
30-Apr-03,118.0520525,6.3,84.86,,
1-May-03,116.871532,6.2,84.61,,
2-May-03,115.7028167,6.45,85.81,,
