Exchange Date,Close,Net,Chg,Open,Low,High,Volume
31-Dec-20,"3,756.07",24.03,0.64%,"3,733.27","3,726.88","3,760.20",
30-Dec-20,"3,732.04",5,0.13%,"3,736.19","3,730.21","3,744.63",
29-Dec-20,"3,727.04",-8.32,-0.22%,"3,750.01","3,723.31","3,756.12",
28-Dec-20,"3,735.36",32.3,0.87%,"3,723.03","3,723.03","3,740.51",
24-Dec-20,"3,703.06",13.05,0.35%,"3,694.03","3,689.32","3,703.82",
23-Dec-20,"3,690.01",2.75,0.07%,"3,693.42","3,689.28","3,711.24",
22-Dec-20,"3,687.26",-7.66,-0.21%,"3,698.08","3,676.16","3,698.26",
21-Dec-20,"3,694.92",-14.49,-0.39%,"3,684.28","3,636.48","3,702.90",
18-Dec-20,"3,709.41",-13.07,-0.35%,"3,722.39","3,685.84","3,726.70",
17-Dec-20,"3,722.48",21.31,0.58%,"3,713.65","3,710.87","3,725.12",
16-Dec-20,"3,701.17",6.55,0.18%,"3,696.25","3,688.57","3,711.27",
15-Dec-20,"3,694.62",47.13,1.29%,"3,666.41","3,659.62","3,695.29",
14-Dec-20,"3,647.49",-15.97,-0.44%,"3,675.27","3,645.84","3,697.61",
11-Dec-20,"3,663.46",-4.64,-0.13%,"3,656.08","3,633.40","3,665.91",
10-Dec-20,"3,668.10",-4.72,-0.13%,"3,659.13","3,645.18","3,678.49",
9-Dec-20,"3,672.82",-29.43,-0.79%,"3,705.98","3,660.54","3,712.39",
8-Dec-20,"3,702.25",10.29,0.28%,"3,683.05","3,678.83","3,708.45",
7-Dec-20,"3,691.96",-7.16,-0.19%,"3,694.73","3,678.88","3,697.41",
4-Dec-20,"3,699.12",32.4,0.88%,"3,670.94","3,670.94","3,699.20",
3-Dec-20,"3,666.72",-2.29,-0.06%,"3,668.28","3,657.17","3,682.73",
2-Dec-20,"3,669.01",6.56,0.18%,"3,653.78","3,644.84","3,670.96",
1-Dec-20,"3,662.45",40.82,1.13%,"3,645.87","3,645.87","3,678.45",
30-Nov-20,"3,621.63",-16.72,-0.46%,"3,634.18","3,594.39","3,634.18",
27-Nov-20,"3,638.35",8.7,0.24%,"3,638.55","3,629.33","3,644.31",
25-Nov-20,"3,629.65",-5.76,-0.16%,"3,635.50","3,617.76","3,635.50",
24-Nov-20,"3,635.41",57.82,1.62%,"3,594.52","3,594.52","3,642.31",
23-Nov-20,"3,577.59",20.05,0.56%,"3,566.82","3,552.77","3,589.81",
20-Nov-20,"3,557.54",-24.33,-0.68%,"3,579.31","3,556.85","3,581.23",
19-Nov-20,"3,581.87",14.08,0.39%,"3,559.41","3,543.84","3,585.22",
18-Nov-20,"3,567.79",-41.74,-1.16%,"3,612.09","3,567.33","3,619.09",
17-Nov-20,"3,609.53",-17.38,-0.48%,"3,610.31","3,588.68","3,623.11",
16-Nov-20,"3,626.91",41.76,1.16%,"3,600.16","3,600.16","3,628.51",
13-Nov-20,"3,585.15",48.14,1.36%,"3,552.57","3,552.57","3,593.66",
12-Nov-20,"3,537.01",-35.65,-1.00%,"3,562.67","3,518.58","3,569.02",
11-Nov-20,"3,572.66",27.13,0.77%,"3,563.22","3,557.00","3,581.16",
10-Nov-20,"3,545.53",-4.97,-0.14%,"3,543.26","3,511.91","3,557.22",
9-Nov-20,"3,550.50",41.06,1.17%,"3,583.04","3,547.48","3,645.99",
6-Nov-20,"3,509.44",-1.01,-0.03%,"3,508.34","3,484.34","3,521.58",
5-Nov-20,"3,510.45",67.01,1.95%,"3,485.74","3,485.74","3,529.05",
4-Nov-20,"3,443.44",74.28,2.20%,"3,406.46","3,405.17","3,486.25",
3-Nov-20,"3,369.16",58.92,1.78%,"3,336.25","3,336.25","3,389.49",
2-Nov-20,"3,310.24",40.28,1.23%,"3,296.20","3,279.74","3,330.14",
30-Oct-20,"3,269.96",-40.15,-1.21%,"3,293.59","3,233.94","3,304.93",
29-Oct-20,"3,310.11",39.08,1.19%,"3,277.17","3,259.82","3,341.05",
28-Oct-20,"3,271.03",-119.65,-3.53%,"3,342.48","3,268.89","3,342.48",
27-Oct-20,"3,390.68",-10.29,-0.30%,"3,403.15","3,388.71","3,409.51",
26-Oct-20,"3,400.97",-64.42,-1.86%,"3,441.42","3,364.86","3,441.42",
23-Oct-20,"3,465.39",11.9,0.34%,"3,464.90","3,440.45","3,466.46",
22-Oct-20,"3,453.49",17.93,0.52%,"3,438.50","3,415.34","3,460.53",
21-Oct-20,"3,435.56",-7.56,-0.22%,"3,439.91","3,433.06","3,464.86",
20-Oct-20,"3,443.12",16.2,0.47%,"3,439.38","3,435.65","3,476.93",
19-Oct-20,"3,426.92",-56.89,-1.63%,"3,493.66","3,419.93","3,502.42",
16-Oct-20,"3,483.81",0.47,0.01%,"3,493.50","3,480.45","3,515.76",
15-Oct-20,"3,483.34",-5.33,-0.15%,"3,453.72","3,440.89","3,489.08",
14-Oct-20,"3,488.67",-23.26,-0.66%,"3,515.47","3,480.55","3,527.94",
13-Oct-20,"3,511.93",-22.29,-0.63%,"3,534.01","3,500.86","3,534.01",
12-Oct-20,"3,534.22",57.09,1.64%,"3,500.02","3,499.61","3,549.85",
9-Oct-20,"3,477.13",30.3,0.88%,"3,459.67","3,458.07","3,482.34",
8-Oct-20,"3,446.83",27.38,0.80%,"3,434.28","3,428.15","3,447.28",
7-Oct-20,"3,419.45",58.5,1.74%,"3,384.56","3,384.56","3,426.26",
6-Oct-20,"3,360.95",-47.68,-1.40%,"3,408.74","3,354.54","3,431.56",
5-Oct-20,"3,408.63",60.19,1.80%,"3,367.27","3,367.27","3,409.57",
2-Oct-20,"3,348.44",-32.36,-0.96%,"3,338.94","3,323.69","3,369.10",
1-Oct-20,"3,380.80",17.8,0.53%,"3,385.87","3,361.39","3,397.18",
30-Sep-20,"3,363.00",27.53,0.83%,"3,341.21","3,340.47","3,393.56",
29-Sep-20,"3,335.47",-16.13,-0.48%,"3,350.92","3,327.54","3,357.92",
28-Sep-20,"3,351.60",53.14,1.61%,"3,333.90","3,332.91","3,360.74",
25-Sep-20,"3,298.46",51.87,1.60%,"3,236.66","3,228.44","3,306.88",
24-Sep-20,"3,246.59",9.67,0.30%,"3,226.14","3,209.45","3,278.70",
23-Sep-20,"3,236.92",-78.65,-2.37%,"3,320.11","3,232.57","3,323.35",
22-Sep-20,"3,315.57",34.51,1.05%,"3,295.75","3,270.95","3,320.31",
21-Sep-20,"3,281.06",-38.41,-1.16%,"3,285.57","3,229.10","3,285.57",
18-Sep-20,"3,319.47",-37.54,-1.12%,"3,357.38","3,292.40","3,362.27",
17-Sep-20,"3,357.01",-28.48,-0.84%,"3,346.86","3,328.82","3,375.17",
16-Sep-20,"3,385.49",-15.71,-0.46%,"3,411.23","3,384.45","3,428.92",
15-Sep-20,"3,401.20",17.66,0.52%,"3,407.73","3,389.25","3,419.48",
14-Sep-20,"3,383.54",42.57,1.27%,"3,363.56","3,363.56","3,402.93",
11-Sep-20,"3,340.97",1.78,0.05%,"3,352.70","3,310.47","3,368.95",
10-Sep-20,"3,339.19",-59.77,-1.76%,"3,412.56","3,329.25","3,425.55",
9-Sep-20,"3,398.96",67.12,2.01%,"3,369.82","3,366.84","3,424.77",
8-Sep-20,"3,331.84",-95.12,-2.78%,"3,371.88","3,329.27","3,379.97",
4-Sep-20,"3,426.96",-28.1,-0.81%,"3,453.60","3,349.63","3,479.15",
3-Sep-20,"3,455.06",-125.78,-3.51%,"3,564.74","3,427.41","3,564.85",
2-Sep-20,"3,580.84",54.19,1.54%,"3,543.76","3,535.23","3,588.11",
1-Sep-20,"3,526.65",26.34,0.75%,"3,507.44","3,494.60","3,528.03",
31-Aug-20,"3,500.31",-7.7,-0.22%,"3,509.73","3,493.25","3,514.77",
28-Aug-20,"3,508.01",23.46,0.67%,"3,494.69","3,484.32","3,509.23",
27-Aug-20,"3,484.55",5.82,0.17%,"3,485.14","3,468.35","3,501.38",
26-Aug-20,"3,478.73",35.11,1.02%,"3,449.97","3,444.15","3,481.07",
25-Aug-20,"3,443.62",12.34,0.36%,"3,435.95","3,425.84","3,444.21",
24-Aug-20,"3,431.28",34.12,1.00%,"3,418.09","3,413.13","3,432.09",
21-Aug-20,"3,397.16",11.65,0.34%,"3,386.01","3,379.31","3,399.96",
20-Aug-20,"3,385.51",10.66,0.32%,"3,360.48","3,354.69","3,390.80",
19-Aug-20,"3,374.85",-14.93,-0.44%,"3,392.51","3,369.66","3,399.54",
18-Aug-20,"3,389.78",7.79,0.23%,"3,387.04","3,370.15","3,395.06",
17-Aug-20,"3,381.99",9.14,0.27%,"3,380.86","3,379.22","3,387.59",
14-Aug-20,"3,372.85",-0.58,-0.02%,"3,368.66","3,361.64","3,378.51",
13-Aug-20,"3,373.43",-6.92,-0.20%,"3,372.95","3,363.35","3,387.24",
