Exchange Date,Close,Net,PerChg,Open,Low,High,Volume,TurnoverUSD
31-Dec-20,373.88,1.89,0.51%,371.78,371.23,374.66,"78,520,702","29,303,951,480.74"
30-Dec-20,371.99,0.53,0.14%,372.34,371.57,373.1,"49,455,259","18,401,923,313.24"
29-Dec-20,371.46,-0.71,-0.19%,373.81,370.83,374,"53,680,451","19,963,585,529.15"
28-Dec-20,372.17,3.17,0.86%,371.74,371.07,372.59,"39,000,402","14,497,792,684.16"
25-Dec-20,,,,,,,,
24-Dec-20,369,1.43,0.39%,368.08,367.45,369.03,"26,457,853","9,746,909,427.09"
23-Dec-20,367.57,0.33,0.09%,368.28,367.22,369.62,"46,201,402","17,019,506,403.34"
22-Dec-20,367.24,-0.62,-0.17%,368.21,366.03,368.33,"48,388,462","17,780,279,644.51"
21-Dec-20,367.86,-1.32,-0.36%,364.97,362.03,378.46,"96,386,745","35,308,074,094.80"
18-Dec-20,369.18,-3.06,-0.82%,370.97,367.02,371.15,"136,542,328","50,445,569,765.56"
17-Dec-20,372.24,2.07,0.56%,371.94,371.05,372.46,"64,119,472","23,826,054,741.59"
16-Dec-20,370.17,0.58,0.16%,369.82,368.87,371.16,"58,420,517","21,612,156,497.36"
15-Dec-20,369.59,4.93,1.35%,367.4,365.92,369.59,"64,071,099","23,567,900,960.51"
14-Dec-20,364.66,-1.64,-0.45%,368.64,364.47,369.8,"69,216,174","25,374,890,744.00"
11-Dec-20,366.3,-0.43,-0.12%,364.9,363.26,366.74,"57,698,614","21,086,682,310.27"
10-Dec-20,366.73,-0.12,-0.03%,365.37,364.43,367.86,"57,735,353","21,175,479,711.07"
9-Dec-20,366.85,-3.32,-0.90%,370.88,365.95,371.05,"74,098,312","27,277,436,906.76"
8-Dec-20,370.17,1.08,0.29%,367.72,367.67,370.78,"42,458,859","15,690,341,828.57"
7-Dec-20,369.09,-0.76,-0.21%,369.02,367.72,369.62,"48,944,269","18,056,675,134.45"
4-Dec-20,369.85,3.16,0.86%,367.32,367.22,369.85,"50,749,859","18,716,891,903.77"
3-Dec-20,366.69,-0.1,-0.03%,366.68,365.5,368.19,"62,881,998","23,071,950,859.22"
2-Dec-20,366.79,0.77,0.21%,364.82,364.2,366.96,"45,927,000","16,811,463,463.91"
1-Dec-20,366.02,3.96,1.09%,365.57,364.93,367.68,"74,504,969","27,266,459,346.27"
30-Nov-20,362.06,-1.61,-0.44%,362.83,359.17,363.12,"83,872,709","30,337,092,990.10"
27-Nov-20,363.67,1.01,0.28%,363.84,362.58,364.18,"28,514,072","10,367,529,946.49"
26-Nov-20,,,,,,,,
25-Nov-20,362.66,-0.56,-0.15%,363.13,361.48,363.16,"45,330,890","16,433,143,593.52"
24-Nov-20,363.22,5.76,1.61%,360.21,359.29,363.81,"62,415,877","22,598,338,051.35"
23-Nov-20,357.46,2.13,0.60%,357.28,354.87,358.82,"63,230,608","22,567,373,135.70"
20-Nov-20,355.33,-2.45,-0.68%,357.5,355.25,357.72,"70,411,890","25,099,831,153.81"
19-Nov-20,357.78,1.5,0.42%,355.6,354.15,358.18,"59,940,947","21,367,668,900.11"
18-Nov-20,356.28,-4.34,-1.20%,360.91,356.24,361.5,"70,591,299","25,346,857,401.77"
17-Nov-20,360.62,-1.95,-0.54%,359.97,358.34,361.92,"66,111,009","23,835,100,714.77"
16-Nov-20,362.57,4.47,1.25%,360.98,359.59,362.78,"74,541,138","26,916,311,029.05"
13-Nov-20,358.1,4.89,1.38%,355.27,354.71,358.9,"62,959,429","22,468,535,709.78"
12-Nov-20,353.21,-3.46,-0.97%,355.58,351.26,356.72,"68,118,563","24,087,427,861.88"
11-Nov-20,356.67,2.63,0.74%,356.4,355.06,357.56,"58,649,048","20,895,000,344.24"
10-Nov-20,354.04,-0.52,-0.15%,353.49,350.51,355.18,"85,552,022","30,256,169,928.13"
