Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,AStd,MStd,Strategy Wins (%)
1,2,0.001,0.0001,250,0.8599287473377866,0.9645778242420513,-0.10464907690426473,81,80,91,0.0029613101931873667,0.0034384699294051236,
2,2,0.001,0.0001,250,0.8419415573618092,0.9669614655717004,-0.12501990820989117,88,75,89,0.004313918639489081,0.005284042858089613,
3,2,0.001,0.0001,250,0.8129380178444776,1.108454708988569,-0.2955166911440914,87,65,100,0.004056667121475729,0.004879510618303038,
4,2,0.001,0.0001,250,0.7742154536869504,0.9769287109375007,-0.20271325725055023,92,75,85,0.00531437054943341,0.006366079957944904,
5,2,0.001,0.0001,250,0.7998155318072193,0.9995309201782495,-0.1997153883710302,87,70,95,0.004173964343537467,0.005343067239620075,
6,2,0.001,0.0001,250,0.8357682300745705,0.9374046771733625,-0.10163644709879205,69,92,91,0.005893966124118654,0.007058544135081549,
7,2,0.001,0.0001,250,0.8403806417157392,0.9851192329244772,-0.144738591208738,82,98,72,0.005574395015224535,0.0066574321223574475,
8,2,0.001,0.0001,250,0.8182463939906016,0.8667913817571927,-0.04854498776659111,91,81,80,0.007425928597233828,0.008522427710651665,
9,2,0.001,0.0001,250,0.8787856861975719,1.0846498792687134,-0.20586419307114145,87,95,70,0.0036051218140802904,0.0046126199398881535,
10,2,0.001,0.0001,250,0.8420630557531246,1.0804107731059878,-0.2383477173528632,78,84,90,0.003542346475135926,0.004299940186953297,
11,2,0.001,0.0001,250,0.8358771913505547,0.8475170399221033,-0.011639848571548539,87,88,77,0.0050763870222277985,0.006290777459647474,
12,2,0.001,0.0001,250,0.7638368931176358,0.9587432319072665,-0.1949063387896307,87,75,90,0.004116841880719124,0.005082527219513389,
13,2,0.001,0.0001,250,0.8643321430059827,1.1234312248995963,-0.25909908189361364,112,68,72,0.0042652292010804125,0.0062314086384697405,
14,2,0.001,0.0001,250,0.8842713915642549,1.038519828239455,-0.15424843667520005,98,78,76,0.003236922898484656,0.004652556974931707,
15,2,0.001,0.0001,250,0.8062522418412621,1.0720232588872738,-0.2657710170460117,89,82,81,0.005097188819204741,0.006302819716776285,
16,2,0.001,0.0001,250,0.792557445523713,1.0422914263744734,-0.24973398085076037,104,64,84,0.00347111891635377,0.005020268274340529,
17,2,0.001,0.0001,250,0.7683707351763258,1.1399802844669735,-0.3716095492906477,79,88,85,0.0035613665983804496,0.004126495925471575,
18,2,0.001,0.0001,250,0.7989312391758735,0.9674507124731606,-0.16851947329728711,86,81,85,0.004234983756281778,0.005222589081546909,
19,2,0.001,0.0001,250,0.7900799180838595,1.0635471204188458,-0.27346720233498634,65,103,84,0.0034226491536338017,0.0038432974091872963,
20,2,0.001,0.0001,250,0.8133446890765499,0.9212308676870572,-0.10788617861050731,76,103,73,0.004307511004697205,0.0051312243726269035,
21,2,0.001,0.0001,250,0.7677254176843792,0.9683467870081996,-0.20062136932382046,83,103,66,0.004183183087097278,0.0053416770555579935,
22,2,0.001,0.0001,250,0.8633086758759058,0.7388930255646553,0.12441565031125046,87,94,71,0.005979699613295499,0.00851110006214969,
23,2,0.001,0.0001,250,0.7399043539107435,0.9715374684944987,-0.23163311458375524,67,99,86,0.005649615528425672,0.00658692323347135,
24,2,0.001,0.0001,250,0.8141608195312227,1.1189261744966468,-0.3047653549654241,78,89,85,0.00356897109763028,0.004482482834854132,
25,2,0.001,0.0001,250,0.7454216747161027,1.0588929540894627,-0.31347127937336006,73,84,95,0.005222857559720364,0.006237175668047018,
26,2,0.001,0.0001,250,0.8532869359890709,0.8888126623217526,-0.035525726332681695,68,92,92,0.0054614432757073995,0.005927114074639866,
27,2,0.001,0.0001,250,0.763603533247262,0.9649882233114762,-0.2013846900642141,63,94,95,0.003837816521300593,0.004327965614971025,
28,2,0.001,0.0001,250,0.7471556191602434,1.074164824000477,-0.32700920484023366,75,68,109,0.005288969606683032,0.006262966487100506,
29,2,0.001,0.0001,250,0.6990115860860933,1.1027438016528954,-0.40373221556680217,65,87,100,0.004025974137382763,0.004523149331279828,
30,2,0.001,0.0001,250,0.8409914679078178,1.0110415712613843,-0.17005010335356652,79,66,107,0.004069222226302817,0.004717612954650651,
31,2,0.001,0.0001,250,0.8183378647848387,1.071525577184246,-0.2531877123994073,73,66,113,0.008781341587614537,0.009719804119402438,
32,2,0.001,0.0001,250,0.9602430865608177,0.8462844792095511,0.11395860735126662,73,77,102,0.009731604912826645,0.01137654176503928,
33,2,0.001,0.0001,250,0.9937285012494543,0.8598252974757543,0.13390320377370002,77,69,106,0.008432165805363677,0.008925342851745292,
34,2,0.001,0.0001,250,0.7333221036145833,1.0886452623335932,-0.3553231587190099,72,62,118,0.003302350551497981,0.004145567060883536,
35,2,0.001,0.0001,250,0.7542692641440527,0.8323238763149516,-0.07805461217089893,75,67,110,0.007878929170180935,0.008496276096626738,
36,2,0.001,0.0001,250,0.786627390840844,1.1332457474761444,-0.3466183566353004,72,66,114,0.004777099131138295,0.005640074691754438,
37,2,0.001,0.0001,250,0.8551191788624104,1.116283998587072,-0.26116481972466166,76,73,103,0.003611587588514989,0.0043135393510709795,
38,2,0.001,0.0001,250,0.7535109347648729,0.9961237364140755,-0.24261280164920263,88,64,100,0.003928399093432995,0.004750968921217971,
39,2,0.001,0.0001,250,0.7426829516523327,0.9450941243582421,-0.20241117270590947,76,75,101,0.004294165318746748,0.005168931207093095,
40,2,0.001,0.0001,250,0.8472354741769164,1.0731372445477112,-0.22590177037079484,92,72,88,0.003200983714030506,0.0038488853946080934,
41,2,0.001,0.0001,250,0.8612392314902011,1.1188315822986326,-0.25759235080843146,59,79,114,0.004433881503337164,0.005074048081023295,
42,2,0.001,0.0001,250,0.746495690321269,1.072249483471073,-0.325753793149804,54,93,105,0.004654633100121618,0.00501539264114435,
43,2,0.001,0.0001,250,0.8735623263029462,0.9027480371163458,-0.0291857108133996,72,70,110,0.003926198923064825,0.004651456476071248,
44,2,0.001,0.0001,250,0.6790842250606721,0.9545565153911665,-0.27547229033049436,63,88,101,0.004457468627073454,0.005039773702384506,
45,2,0.001,0.0001,250,0.9043909834652363,0.9255064603605059,-0.021115476895269603,75,75,102,0.004765363120281735,0.005262919240510001,
46,2,0.001,0.0001,250,0.8093336679711309,1.0735284657446122,-0.2641947977734813,58,78,116,0.0030460030320452226,0.003370997402050076,
47,2,0.001,0.0001,250,0.7232561641207133,1.0616376325182453,-0.338381468397532,77,74,101,0.0036728223034790857,0.004418997183719729,
48,2,0.001,0.0001,250,0.7895251340906033,0.9997462894836986,-0.21022115539309527,75,60,117,0.00350765858188043,0.003934047358817347,
49,2,0.001,0.0001,250,0.7819233755247341,0.9738570508692853,-0.1919336753445512,64,65,123,0.003686777713721098,0.004112144465114787,
50,2,0.001,0.0001,250,0.8121073475603732,0.9419800707168119,-0.12987272315643872,53,63,136,0.004567419645151853,0.0052035742915576035,
51,2,0.001,0.0001,250,0.7563777376256172,1.1125914167469813,-0.35621367912136404,61,68,123,0.0042076312745352945,0.00479290843451561,
52,2,0.001,0.0001,250,0.7194045685658257,0.9268775855036993,-0.20747301693787357,66,69,117,0.009392596804589618,0.010970776578699635,
53,2,0.001,0.0001,250,0.8646225949481423,0.7894736842105273,0.07514891073761498,65,65,122,0.008284789855314976,0.00872447460322764,
54,2,0.001,0.0001,250,0.8188184228451246,1.0283286118980177,-0.2095101890528931,69,67,116,0.00429693525418059,0.005245477670262939,
55,2,0.001,0.0001,250,0.8920720857875097,1.0957458812909038,-0.20367379550339404,70,70,112,0.005501324579908173,0.00630283851488268,
56,2,0.001,0.0001,250,0.7347448255168689,0.955819719026128,-0.22107489350925902,63,70,119,0.004785538069245735,0.005324015746279578,
57,2,0.001,0.0001,250,0.8119650083251768,1.0023747031621049,-0.19040969483692805,70,64,118,0.003813784049235154,0.004516479885074016,
58,2,0.001,0.0001,250,0.8279343201203645,0.9551713297705126,-0.12723700965014806,66,55,131,0.00347384791525848,0.003995188418213951,
59,2,0.001,0.0001,250,0.8848328891596222,1.014975369458129,-0.13014248029850672,69,74,109,0.005966081621953524,0.006976913260372627,
60,2,0.001,0.0001,250,0.7558132092385794,0.7757587289506239,-0.0199455197120445,62,78,112,0.005959341272142995,0.0068004606678155385,
61,2,0.001,0.0001,250,0.7704781912541807,1.0268944612841011,-0.2564162700299204,75,71,106,0.004139612466826572,0.005151689640930064,
62,2,0.001,0.0001,250,0.7607826744877972,0.9427521008403369,-0.18196942635253965,71,63,118,0.004326075337479294,0.005295827893516522,
