Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,Strategy Wins (%)
1,13,0.001,0.0001,250,0.7742063723481609,0.9476149914821121,-0.17340861913395123,81,80,91,
2,13,0.001,0.0001,250,0.8407885172709605,0.9689892802450234,-0.1282007629740629,88,75,89,
3,13,0.001,0.0001,250,0.7711649859834089,1.1237475526891618,-0.35258256670575294,87,65,100,
4,13,0.001,0.0001,250,0.8617269305725597,0.9650919106640329,-0.10336498009147321,92,75,85,
5,13,0.001,0.0001,250,0.7876608505212043,1.0010130133250217,-0.2133521628038174,87,70,95,
6,13,0.001,0.0001,250,0.7292473706222987,0.8918786991274651,-0.16263132850516637,69,92,91,
7,13,0.001,0.0001,250,0.6686527636255066,0.9452757330759031,-0.27662296945039644,82,98,72,
8,13,0.001,0.0001,250,0.9822841731968083,0.8230615016490986,0.15922267154770964,90,82,80,
9,13,0.001,0.0001,250,0.8283414600187031,1.0974506578947356,-0.2691091978760325,87,95,70,
10,13,0.001,0.0001,250,0.791697292049089,1.1151811690029103,-0.3234838769538213,78,84,90,
11,13,0.001,0.0001,250,0.7178396967059402,0.7574875006067662,-0.039647803900826006,87,88,77,
12,13,0.001,0.0001,250,0.7754688750609402,0.954970530451864,-0.17950165539092378,87,75,90,
13,13,0.001,0.0001,250,0.7654204615976213,1.081584085916524,-0.31616362431890266,112,68,72,
14,13,0.001,0.0001,250,0.7697271339793378,1.057381832328342,-0.28765469834900415,98,78,76,
15,13,0.001,0.0001,250,0.916117402129093,1.067933180478218,-0.15181577834912496,89,82,81,
16,13,0.001,0.0001,250,0.8085047012809776,1.041304858014551,-0.23280015673357335,104,64,84,
17,13,0.001,0.0001,250,0.7936704464426712,1.1232011232011245,-0.3295306767584534,78,92,82,
18,13,0.001,0.0001,250,0.8375760375711014,0.9959154858554777,-0.1583394482843763,88,82,82,
19,13,0.001,0.0001,250,0.7571465465658578,0.9948019017432654,-0.23765535517740766,69,99,84,
20,13,0.001,0.0001,250,0.8340667180687378,0.9610704286021982,-0.12700371053346038,78,96,78,
21,13,0.001,0.0001,250,0.8894078817765227,0.979275278367768,-0.08986739659124521,90,91,71,
22,13,0.001,0.0001,250,0.8193855092201602,0.7372937630893399,0.08209174613082026,95,77,80,
23,13,0.001,0.0001,250,0.8995933552416402,0.9677283146338536,-0.06813495939221337,77,97,78,
24,13,0.001,0.0001,250,0.7959998309738425,1.082305332550095,-0.28630550157625256,83,89,80,
25,13,0.001,0.0001,250,0.8799982065002903,1.088508040849866,-0.2085098343495757,77,82,93,
26,13,0.001,0.0001,250,0.7800062408068539,0.8290288256916225,-0.04902258488476863,76,89,87,
27,13,0.001,0.0001,250,0.8101431442781025,0.9780296315056363,-0.16788648722753374,74,105,73,
28,13,0.001,0.0001,250,0.7282042088893556,1.0906987780282364,-0.3624945691388809,85,75,92,
29,13,0.001,0.0001,250,0.7832116747115714,1.0952853926632231,-0.31207371795165173,66,95,91,
30,13,0.001,0.0001,250,0.7659488108998236,0.992927722325324,-0.22697891142550042,90,75,87,
31,13,0.001,0.0001,250,0.7108454717153182,1.103876705818452,-0.3930312341031338,85,71,96,
32,13,0.001,0.0001,250,0.7292934977015926,0.9387871202639658,-0.20949362256237325,82,86,84,
33,13,0.001,0.0001,250,0.8045973546490458,0.8768885259289496,-0.07229117127990381,82,77,93,
34,13,0.001,0.0001,250,0.7218269107808605,1.0354392942736228,-0.3136123834927623,91,70,91,
35,13,0.001,0.0001,250,0.8837862530246211,0.8528996664100598,0.03088658661456134,86,73,93,
36,13,0.001,0.0001,250,0.7576516476786634,1.1011243519827647,-0.34347270430410126,79,79,94,
37,13,0.001,0.0001,250,0.8552756997849593,1.0901365282808584,-0.23486082849589907,86,78,88,
38,13,0.001,0.0001,250,0.8307659486720094,0.9871143788372607,-0.15634843016525135,93,80,79,
39,13,0.001,0.0001,250,0.7110222623244201,0.9503808487486388,-0.2393585864242187,88,88,76,
40,13,0.001,0.0001,250,0.8147272300325075,1.0770708795900943,-0.2623436495575868,100,81,71,
41,13,0.001,0.0001,250,0.7460698528160362,1.055602946878635,-0.30953309406259877,67,87,98,
42,13,0.001,0.0001,250,0.84288752987059,1.0501852694532916,-0.2072977395827016,58,99,95,
43,13,0.001,0.0001,250,0.8183268076792433,0.9033739621974917,-0.0850471545182484,86,77,89,
44,13,0.001,0.0001,250,0.8077469932469568,0.9779604034366816,-0.1702134101897248,73,96,83,
45,13,0.001,0.0001,250,0.7861325967692164,0.9143796305958468,-0.12824703382663039,95,83,74,
46,13,0.001,0.0001,250,0.8621357680543397,1.0129975629569459,-0.1508617949026062,74,89,89,
47,13,0.001,0.0001,250,0.8118095676187553,1.0753321092990602,-0.26352254168030487,95,86,71,
48,13,0.001,0.0001,250,0.8454752170683835,0.9674385875127948,-0.1219633704444113,85,76,91,
49,13,0.001,0.0001,250,0.7376588911891165,0.9920757634325479,-0.25441687224343135,75,77,100,
50,13,0.001,0.0001,250,0.8216537892948422,0.9348444913020568,-0.1131907020072146,80,67,105,
51,13,0.001,0.0001,250,0.8359700419320024,1.128172734581371,-0.2922026926493686,85,81,86,
52,13,0.001,0.0001,250,0.9239785254852412,1.0964514407684085,-0.17247291528316733,73,76,103,
53,13,0.001,0.0001,250,0.7739805056533817,0.8180796190980033,-0.044099113444621585,88,71,93,
54,13,0.001,0.0001,250,0.8480835845596717,1.0784758448627814,-0.23039226030310966,89,89,74,
55,13,0.001,0.0001,250,0.9041328158636551,1.053625336187497,-0.14949252032384186,83,85,84,
56,13,0.001,0.0001,250,0.9059248087743466,0.9882017631073136,-0.082276954332967,82,83,87,
57,13,0.001,0.0001,250,0.8518502685063036,1.0135760760760761,-0.1617258075697725,84,80,88,
58,13,0.001,0.0001,250,0.8019528577575287,0.9568425621628324,-0.1548897044053037,79,73,100,
59,13,0.001,0.0001,250,0.831337631550399,0.9028274089398801,-0.07148977738948115,88,83,81,
60,13,0.001,0.0001,250,1.120083396527203,0.726290338497977,0.39379305802922604,76,97,79,
61,13,0.001,0.0001,250,0.6922866074383711,1.0021473406012562,-0.3098607331628851,93,88,71,
