Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,Strategy Wins (%)
1,1,0.001,0.0001,250,0.7760460779209041,0.9836075883031131,-0.20756151038220905,82,79,91,
2,1,0.001,0.0001,250,0.7831176290383078,1.000503482420073,-0.21738585338176508,88,75,89,
3,1,0.001,0.0001,250,0.7808875153508815,0.9925638538635639,-0.21167633851268242,86,66,100,
4,1,0.001,0.0001,250,0.8026827979752864,1.0005659546817027,-0.19788315670641632,92,75,85,
5,1,0.001,0.0001,250,0.7979609213823722,0.9966769076431128,-0.1987159862607406,88,70,94,
6,1,0.001,0.0001,250,0.7948496989920562,1.0091328044443528,-0.21428310545229667,68,94,90,
7,1,0.001,0.0001,250,0.78831035024045,1.0181255812947474,-0.22981523105429735,82,95,75,
8,1,0.001,0.0001,250,0.7908813505561183,1.0221682701034678,-0.23128691954734948,92,80,80,
9,1,0.001,0.0001,250,0.7908178695578124,1.0208374244506995,-0.23001955489288706,87,95,70,
10,1,0.001,0.0001,250,0.796572139492245,0.9852534144017411,-0.18868127490949604,77,84,91,
11,1,0.001,0.0001,250,0.7911585177805277,1.0034678436317794,-0.21230932585125173,87,88,77,
12,1,0.001,0.0001,250,0.7798237119071401,0.9889636144162798,-0.20913990250913972,88,75,89,
13,1,0.001,0.0001,250,0.8059582586275273,1.0106086583797684,-0.20465039975224109,111,68,73,
14,1,0.001,0.0001,250,0.797264860308888,0.9812530110387303,-0.18398815072984231,97,79,76,
15,1,0.001,0.0001,250,0.7969205964125372,0.9811096489366227,-0.18418905252408546,92,80,80,
16,1,0.001,0.0001,250,0.846658566345668,1.0080289599480186,-0.1613703936023505,103,64,85,
17,1,0.001,0.0001,250,0.7928575754652365,0.9995807303676993,-0.20672315490246285,92,83,77,
18,1,0.001,0.0001,250,0.7921390361176409,0.9743397557426898,-0.1822007196250489,94,77,81,
19,1,0.001,0.0001,250,0.7944099267828773,0.9987028474590454,-0.2042929206761681,86,89,77,
20,1,0.001,0.0001,250,0.8145390433818392,1.0119969791779047,-0.1974579357960654,93,83,76,
21,1,0.001,0.0001,250,0.8083277288481108,1.0175537083018462,-0.20922597945373544,101,85,66,
22,1,0.001,0.0001,250,0.8142883368954746,0.9934748623603785,-0.17918652546490388,111,72,69,
23,1,0.001,0.0001,250,0.7993897255357487,1.0036197571395502,-0.2042300316038015,96,81,75,
24,1,0.001,0.0001,250,0.7973630346276512,1.007494486199438,-0.2101314515717867,101,79,72,
25,1,0.001,0.0001,250,0.7948510822633557,1.007127928720712,-0.21227684645735634,96,73,83,
26,1,0.001,0.0001,250,0.7989120666346441,1.01352869986169,-0.21461663322704583,91,84,77,
27,1,0.001,0.0001,250,0.8071833628292088,1.0180919954603125,-0.2109086326311037,97,89,66,
28,1,0.001,0.0001,250,0.8175333518357965,0.9706783953085425,-0.15314504347274605,104,68,80,
29,1,0.001,0.0001,250,0.8226392820274416,0.9860833160812447,-0.16344403405380303,82,88,82,
30,1,0.001,0.0001,250,0.8192999201722625,1.0201235618032867,-0.20082364163102417,111,64,77,
31,1,0.001,0.0001,250,0.8217731501332537,0.9815280748102486,-0.15975492467699492,106,65,81,
32,1,0.001,0.0001,250,0.8070856974852754,1.0160649397564736,-0.20897924227119824,99,75,78,
33,1,0.001,0.0001,250,0.8082683710545124,1.0180529553356537,-0.20978458428114122,111,67,74,
34,1,0.001,0.0001,250,0.8164709231439491,0.9746623482494988,-0.15819142510554973,115,62,75,
35,1,0.001,0.0001,250,0.7872881476706801,1.0149978974910034,-0.22770974982032333,107,66,79,
36,1,0.001,0.0001,250,0.8025473906102025,0.9955196176740414,-0.19297222706383887,99,66,87,
37,1,0.001,0.0001,250,0.8106725798944174,1.02244965335094,-0.21177707345652252,114,68,70,
38,1,0.001,0.0001,250,0.8164878367930037,0.9758239327582389,-0.15933609596523512,119,63,70,
39,1,0.001,0.0001,250,0.8241585962662304,0.9991825955734416,-0.17502399930721113,122,71,59,
40,1,0.001,0.0001,250,0.8234005581920848,0.9997024821489275,-0.17630192395684274,121,70,61,
41,1,0.001,0.0001,250,0.8162288569826572,1.001262133694379,-0.18503327671172176,88,81,83,
42,1,0.001,0.0001,250,0.7900095592475538,0.9819317514882191,-0.1919221922406653,92,81,79,
43,1,0.001,0.0001,250,0.8071732910958964,1.0288957688338491,-0.22172247773795273,110,67,75,
44,1,0.001,0.0001,250,0.8055913202658935,1.0169560996656242,-0.21136477939973064,107,84,61,
45,1,0.001,0.0001,250,0.8093657733848129,1.0083388049901494,-0.19897303160533653,125,69,58,
46,1,0.001,0.0001,250,0.831685554543336,1.0147484493452796,-0.1830628948019436,108,78,66,
47,1,0.001,0.0001,250,0.8234143434576983,0.9915591927674714,-0.16814484930977314,119,72,61,
48,1,0.001,0.0001,250,0.8062248145659937,0.9963935779617191,-0.19016876339572542,126,58,68,
49,1,0.001,0.0001,250,0.7877174541217428,1.0070744001903802,-0.21935694606863743,110,62,80,
50,1,0.001,0.0001,250,0.7870861900233961,0.9921597189494883,-0.2050735289260922,102,62,88,
51,1,0.001,0.0001,250,0.831859990373986,0.984507802311463,-0.152647811937477,114,65,73,
52,1,0.001,0.0001,250,0.8075410125254936,0.9929160980048085,-0.18537508547931492,114,68,70,
53,1,0.001,0.0001,250,0.8322917334183553,1.016711823501286,-0.1844200900829307,114,64,74,
54,1,0.001,0.0001,250,0.8543798779365916,1.0233562315996085,-0.1689763536630169,130,64,58,
55,1,0.001,0.0001,250,0.8193092881175631,1.022381785543867,-0.20307249742630396,113,72,67,
56,1,0.001,0.0001,250,0.8178297518681844,0.9756375427219358,-0.1578077908537514,125,69,58,
57,1,0.001,0.0001,250,0.8198088150028452,1.0020073888995662,-0.182198573896721,132,61,59,
58,1,0.001,0.0001,250,0.8343129605084417,0.9610240990889904,-0.12671113858054872,124,55,73,
59,1,0.001,0.0001,250,0.8080073410301284,0.9838311395503654,-0.175823798520237,120,71,61,
60,1,0.001,0.0001,250,0.8233966743057174,1.0074917720422647,-0.1840950977365473,125,72,55,
61,1,0.001,0.0001,250,0.8045315095724489,0.9837157500919094,-0.17918424051946047,121,70,61,
62,1,0.001,0.0001,250,0.8174711870102648,0.9970549319219775,-0.1795837449117127,133,62,57,
63,1,0.001,0.0001,250,0.8196526689133076,0.9991898863709019,-0.17953721745759432,119,64,69,
64,1,0.001,0.0001,250,0.8314233869214395,0.9815645973154362,-0.15014121039399675,129,62,61,
65,1,0.001,0.0001,250,0.8470114865115841,1.0097527784078,-0.1627412918962159,133,61,58,
66,1,0.001,0.0001,250,0.8042190679016046,0.9819912750091334,-0.17777220710752883,116,69,67,
67,1,0.001,0.0001,250,0.806786785722226,0.9938513009471706,-0.1870645152249446,125,60,67,
68,1,0.001,0.0001,250,0.8261329370190454,1.010897697861325,-0.18476476084227966,128,68,56,
69,1,0.001,0.0001,250,0.8385977329645682,1.0200919929517827,-0.18149425998721447,128,74,50,
70,1,0.001,0.0001,250,0.8235156295424264,0.9975178670774993,-0.17400223753507293,139,61,52,
71,1,0.001,0.0001,250,0.8289497541835786,1.0079324353217887,-0.17898268113821003,133,62,57,
72,1,0.001,0.0001,250,0.8253587112914526,0.9930339567977503,-0.16767524550629775,127,61,64,
73,1,0.001,0.0001,250,0.8359861473456794,1.0176931884464993,-0.1817070411008198,141,53,58,
74,1,0.001,0.0001,250,0.8684253017457659,1.0116394575451335,-0.14321415579936758,146,52,54,
75,1,0.001,0.0001,250,0.8254537216217359,1.0131617830919961,-0.1877080614702602,121,73,58,
76,1,0.001,0.0001,250,0.8348265284770044,0.9958650382590536,-0.16103850978204914,138,56,58,
77,1,0.001,0.0001,250,0.8279274983163926,0.9963646472638629,-0.1684371489474703,127,62,63,
78,1,0.001,0.0001,250,0.8169876986611211,1.0179202364732227,-0.20093253781210163,144,58,50,
79,1,0.001,0.0001,250,0.8118085837391447,1.012837645409338,-0.2010290616701933,128,64,60,
80,1,0.001,0.0001,250,0.8079296151111789,0.9806057214198066,-0.17267610630862773,141,50,61,
81,1,0.001,0.0001,250,0.8192408061618383,0.998009720941927,-0.17876891478008872,135,61,56,
82,1,0.001,0.0001,250,0.8241036032060327,0.9565664747476944,-0.1324628715416617,128,61,63,
83,1,0.001,0.0001,250,0.8213560649749724,0.9887138940253769,-0.16735782905040453,130,63,59,
84,1,0.001,0.0001,250,0.8514093375180282,0.9945799457994577,-0.14317060828142958,143,47,62,
85,1,0.001,0.0001,250,0.8225594481067903,0.9952187833511202,-0.17265933524432997,134,59,59,
86,1,0.001,0.0001,250,0.8338731599443662,0.9959538784067068,-0.16208071846234062,140,54,58,
87,1,0.001,0.0001,250,0.8172507434535781,1.013251607890535,-0.19600086443695686,132,63,57,
88,1,0.001,0.0001,250,0.8186407456216843,0.9875152579394828,-0.1688745123177985,134,61,57,
89,1,0.001,0.0001,250,0.8261523486761267,0.9972872456792831,-0.17113489700315632,140,58,54,
90,1,0.001,0.0001,250,0.8415497919909172,1.0033073524990153,-0.16175756050809809,137,58,57,
91,1,0.001,0.0001,250,0.8452270906514647,0.976671414389917,-0.13144432373845227,153,40,59,
92,1,0.001,0.0001,250,0.8533621131168293,0.9898855126108316,-0.13652339949400227,140,58,54,
93,1,0.001,0.0001,250,0.8554871410582097,0.9869983880546361,-0.13151124699642647,160,47,45,
94,1,0.001,0.0001,250,0.8411346283309492,0.991588163344134,-0.1504535350131848,144,45,63,
95,1,0.001,0.0001,250,0.8444274587299,0.9934748623603785,-0.14904740363047853,159,56,37,
96,1,0.001,0.0001,250,0.8264012699307955,1.0051805833421084,-0.1787793134113128,134,58,60,
97,1,0.001,0.0001,250,0.8349121264125609,0.986727472196529,-0.15181534578396816,133,62,57,
98,1,0.001,0.0001,250,0.852447900834359,0.9753468539641995,-0.12289895312984056,163,49,40,
99,1,0.001,0.0001,250,0.8371471422945401,0.9908673803801609,-0.15372023808562074,155,46,51,
100,1,0.001,0.0001,250,0.8306440817646928,0.9921956060811123,-0.1615515243164195,150,55,47,0.0
101,1,0.001,0.0001,250,0.8341124529614131,0.9970029114574417,-0.16289045849602857,148,51,53,0.0
102,1,0.001,0.0001,250,0.8308588319651306,1.0139306885544903,-0.18307185658935976,156,50,46,0.0
103,1,0.001,0.0001,250,0.8317868916636987,0.996202666666668,-0.16441577500296933,147,59,46,0.0
104,1,0.001,0.0001,250,0.8357822881967562,1.0019099991604392,-0.16612771096368306,150,58,44,0.0
105,1,0.001,0.0001,250,0.848734697213897,0.9933193607545201,-0.14458466354062305,155,42,55,0.0
106,1,0.001,0.0001,250,0.8513795784356637,1.0166585215562112,-0.16527894312054747,160,47,45,0.0
107,1,0.001,0.0001,250,0.8341862440726425,1.0300477332218827,-0.19586148914924018,147,56,49,0.0
108,1,0.001,0.0001,250,0.8470419777763989,0.9938706775725369,-0.146828699796138,160,48,44,0.0
109,1,0.001,0.0001,250,0.8500084102722848,0.9984278422673543,-0.14841943199506946,158,39,55,0.0
