Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,stdA,stdM,Strategy Wins (%)
1,3,0.001,0.0001,250,0.7760460779209041,0.9836075883031131,-0.20756151038220905,82,79,91,0.0009526929585153061,0.000700334559813793,
2,3,0.001,0.0001,250,0.7831176290383078,1.000503482420073,-0.21738585338176508,88,75,89,0.000791018397507468,0.0005990494029099248,
3,3,0.001,0.0001,250,0.7808875153508815,0.9925638538635639,-0.21167633851268242,86,66,100,0.0011644037843606017,0.0010505270428364754,
4,3,0.001,0.0001,250,0.8026827979752864,1.0005659546817027,-0.19788315670641632,92,75,85,0.0008006791320892768,0.00042391401275537836,
5,3,0.001,0.0001,250,0.7979609213823722,0.9966769076431128,-0.1987159862607406,88,70,94,0.0007472347802394767,0.00045121343278765354,
6,3,0.001,0.0001,250,0.7948496989920562,1.0091328044443528,-0.21428310545229667,68,94,90,0.0007669928298467439,0.0005309604476123614,
7,3,0.001,0.0001,250,0.78831035024045,1.0181255812947474,-0.22981523105429735,82,95,75,0.000806464058295621,0.0004292052603082168,
8,3,0.001,0.0001,250,0.7908813505561183,1.0221682701034678,-0.23128691954734948,92,80,80,0.0011263963190846792,0.0009579540497967172,
9,3,0.001,0.0001,250,0.7908178695578124,1.0208374244506995,-0.23001955489288706,87,95,70,0.000784835309659695,0.0005211165463348641,
10,3,0.001,0.0001,250,0.796572139492245,0.9852534144017411,-0.18868127490949604,77,84,91,0.0018456430218235006,0.00199985724011371,
11,3,0.001,0.0001,250,0.7911585177805277,1.0034678436317794,-0.21230932585125173,87,88,77,0.0007826099737836268,0.00042526195575697586,
12,3,0.001,0.0001,250,0.7798237119071401,0.9889636144162798,-0.20913990250913972,88,75,89,0.0012762211677093108,0.0011514080752042346,
13,3,0.001,0.0001,250,0.8074110898039034,1.0106086583797684,-0.20319756857586502,112,68,72,0.0007383203748373691,0.0006153468988088779,
14,3,0.001,0.0001,250,0.797264860308888,0.9812530110387303,-0.18398815072984231,97,79,76,0.0008008467702868668,0.0005021301403091974,
