Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,AStd,MStd,Strategy Wins (%)
1,13,0.001,0.0001,250,0.7742991403387965,1.0002133606434946,-0.2259142203046981,82,79,91,0.0008523622071287195,0.0006916051403514278,
2,13,0.001,0.0001,250,0.7864597239696601,1.007785867598166,-0.22132614362850578,88,75,89,0.0008356138304962908,0.0005351788123269779,
3,13,0.001,0.0001,250,0.7907985372615625,0.9871664466422833,-0.1963679093807208,86,66,100,0.0010913358812060252,0.0010163213583298744,
4,13,0.001,0.0001,250,0.801020185412238,0.999853381647572,-0.19883319623533402,92,75,85,0.000789650006845847,0.00045293322264300216,
5,13,0.001,0.0001,250,0.7969433037302326,1.0006083873539342,-0.20366508362370161,88,70,94,0.0006948475484748266,0.00034491984743458134,
6,13,0.001,0.0001,250,0.7979118566130223,1.0054410621625618,-0.20752920554953946,67,94,91,0.000811393009259236,0.00045889774657746645,
7,13,0.001,0.0001,250,0.7914130950757363,1.0092614428127336,-0.21784834773699724,82,95,75,0.0007817331728983603,0.0003973792129650314,
8,13,0.001,0.0001,250,0.7811869960543905,1.014170491511074,-0.23298349545668362,92,80,80,0.0009360593890333781,0.0008588581552117067,
9,13,0.001,0.0001,250,0.7951519560209358,1.0137847589827795,-0.21863280296184373,87,95,70,0.0007449161075967171,0.0004029373814521871,
10,13,0.001,0.0001,250,0.7679050146825408,1.004637839312507,-0.23673282462996625,76,85,91,0.001575528866145113,0.0017810140427830935,
11,13,0.001,0.0001,250,0.7926623663731603,0.9947648347064344,-0.20210246833327405,87,88,77,0.0007878103146591317,0.00042775134270695627,
12,13,0.001,0.0001,250,0.7779451731805417,0.9874553909376018,-0.20951021775706014,88,75,89,0.001193726672384195,0.001074712356455434,
13,13,0.001,0.0001,250,0.8014273098182164,0.9971017581246677,-0.1956744483064513,112,68,72,0.0007878486102228885,0.0006422301587396896,
14,13,0.001,0.0001,250,0.8028824253432552,0.9829095631047631,-0.18002713776150792,97,79,76,0.0008439631548038268,0.0007420120747059612,
15,13,0.001,0.0001,250,0.809084601276754,0.9868454990972423,-0.17776089782048832,92,80,80,0.0011661263174781633,0.0010903883371781965,
16,13,0.001,0.0001,250,0.8444710451371868,0.9735937005023287,-0.1291226553651419,104,64,84,0.0016607215507715193,0.00192292958001154,
17,13,0.001,0.0001,250,0.7814011304440844,1.0008410782623334,-0.21943994781824894,83,90,79,0.0008626337659016748,0.0005944278109620384,
18,13,0.001,0.0001,250,0.7868700575607417,0.9812164378637063,-0.19434638030296458,84,85,83,0.0012168851719305096,0.001279934884788768,
19,13,0.001,0.0001,250,0.7736384972428864,1.002096699794525,-0.22845820255163873,66,102,84,0.0008170942707254196,0.00034033128446699963,
20,13,0.001,0.0001,250,0.7993522501426862,1.0028142387591572,-0.20346198861647102,75,97,80,0.001147686318454055,0.000916248114057912,
21,13,0.001,0.0001,250,0.7977333189253759,1.0099590049580396,-0.21222568603266367,82,101,69,0.0007693307470082582,0.0003832374395403965,
22,13,0.001,0.0001,250,0.7822831024873643,1.012911812089938,-0.23062870960257376,96,80,76,0.0017198762345559148,0.002044612619238262,
23,13,0.001,0.0001,250,0.7824611772134706,1.001112277019938,-0.21865109980646746,70,93,89,0.0008068044953167755,0.0004263980712971231,
24,13,0.001,0.0001,250,0.7951408312622308,1.0027040262311815,-0.2075631949689507,88,85,79,0.0008199859993184614,0.00045878846116333675,
25,13,0.001,0.0001,250,0.808558848799116,1.0237963597761908,-0.21523751097707478,79,84,89,0.00088647558119124,0.0006435964249126426,
26,13,0.001,0.0001,250,0.8015399826898737,1.0176710466696888,-0.21613106397981507,72,96,84,0.0008170455408757557,0.00040175547485960363,
27,13,0.001,0.0001,250,0.7797487020494337,0.9854907539118064,-0.2057420518623727,70,106,76,0.0010926416025617413,0.0009140881752950511,
28,13,0.001,0.0001,250,0.7763062827205649,1.007822597102237,-0.23151631438167208,87,76,89,0.0015336095706250915,0.0017483996213629698,
29,13,0.001,0.0001,250,0.7961830030133539,1.0133898734760665,-0.2172068704627126,66,96,90,0.0014605343563349573,0.0014460145568112555,
30,13,0.001,0.0001,250,0.8175535710303931,1.0035012000968921,-0.1859476290664991,89,76,87,0.0010090876780498633,0.0008922317139177823,
31,13,0.001,0.0001,250,0.7993069744263881,0.9984399042571364,-0.19913292983074826,82,82,88,0.0009480096642029608,0.000730111934180479,
32,13,0.001,0.0001,250,0.8122017708491889,1.0043149719000593,-0.19211320105087037,82,80,90,0.000744434258914814,0.00043118341198216726,
33,13,0.001,0.0001,250,0.7947779365145802,1.0066839872982027,-0.21190605078362257,88,80,84,0.0008094735778397105,0.0007694541064541997,
34,13,0.001,0.0001,250,0.7981656686537032,0.9608689815643453,-0.1627033129106421,91,68,93,0.0012987623554329539,0.0014634032694891023,
35,13,0.001,0.0001,250,0.804725400034152,1.0188353006270736,-0.21410990059292156,86,78,88,0.001580335508651313,0.0017089749890804834,
36,13,0.001,0.0001,250,0.7988076883242866,0.9898538702061134,-0.19104618188182676,80,70,102,0.000870836989952946,0.0006065134972821384,
37,13,0.001,0.0001,250,0.7945728208616121,1.0301151850874857,-0.2355423642258736,81,80,91,0.0010933139934670318,0.0009996834915726558,
38,13,0.001,0.0001,250,0.8139495600829094,0.987031344656599,-0.1730817845736896,95,74,83,0.0013502203923764558,0.0014294775583225262,
39,13,0.001,0.0001,250,0.8223081092808318,0.9930874613649653,-0.17077935208413353,104,78,70,0.0007554669836100058,0.0004481095134234365,
40,13,0.001,0.0001,250,0.8161928154479595,0.9872633098412151,-0.1710704943932556,103,76,73,0.0009133729497985464,0.0007544810552481612,
41,13,0.001,0.0001,250,0.795591370579384,1.0339223107107187,-0.2383309401313347,62,87,103,0.0014222771728999676,0.0013451496438290805,
42,13,0.001,0.0001,250,0.7984092529720936,0.9829665834574469,-0.18455733048535328,70,97,85,0.0009499820403048187,0.0007403137500603727,
43,13,0.001,0.0001,250,0.7936039846731102,1.0159186977246168,-0.22231471305150663,79,83,90,0.0010242404327315308,0.0009389368629487501,
44,13,0.001,0.0001,250,0.7794962625708178,1.0100179587597629,-0.23052169618894502,80,92,80,0.0009988667849314475,0.0009382972223389573,
45,13,0.001,0.0001,250,0.7811655104422336,0.9855507559395236,-0.20438524549728998,97,79,76,0.001284871370445461,0.0012051467396178924,
46,13,0.001,0.0001,250,0.8025607672230523,1.0452552020154897,-0.24269443479243746,67,87,98,0.0012816804075216413,0.001156126821034264,
47,13,0.001,0.0001,250,0.8007656748217503,0.9925264152564214,-0.19176074043467106,91,86,75,0.0008308388352256129,0.0006189114625228418,
48,13,0.001,0.0001,250,0.7889582186053338,0.993298144944042,-0.20433992633870823,82,79,91,0.0009367439014465426,0.0007465397435054921,
49,13,0.001,0.0001,250,0.788078022853224,0.9835407552138636,-0.1954627323606396,79,70,103,0.0009702873115151201,0.0008625247826891535,
50,13,0.001,0.0001,250,0.7901537447155901,0.9916240711309656,-0.20147032641537554,70,76,106,0.0009196669937284912,0.0005902096673496633,
51,13,0.001,0.0001,250,0.7739482056828432,0.9910307807297687,-0.21708257504692552,74,85,93,0.0017429933786686535,0.0018224481188053104,
52,13,0.001,0.0001,250,0.7833132817621058,0.9964591711837724,-0.21314588942166657,81,81,90,0.0012096790956909605,0.0012109631932870984,
53,13,0.001,0.0001,250,0.7999919515213445,0.9943010821540625,-0.19430913063271804,79,86,87,0.000879099345638062,0.0005992295469536609,
54,13,0.001,0.0001,250,0.812191741401121,1.0095925846087521,-0.19740084320763107,79,87,86,0.0008575241161165501,0.0005219394243006507,
55,13,0.001,0.0001,250,0.8044922980938851,1.0122136043505408,-0.20772130625665564,86,80,86,0.0009721143492753955,0.0008108238217261881,
56,13,0.001,0.0001,250,0.7602443370580375,0.9613759278316647,-0.2011315907736272,78,87,87,0.0012078720223635702,0.0012460410967660347,
