Episode,NumStateVars,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,Strategy Wins (%)
1,1,0.8097160061405086,1.1728625360870515,-0.36314652994654284,81,81,90,
2,1,0.765326849610157,1.1283972264286286,-0.36307037681847165,88,75,89,
3,1,1.1846834174483438,0.7110284221360138,0.47365499531233,87,65,100,
4,1,0.8626103933895862,0.9245686772769829,-0.06195828388739666,90,75,87,
5,1,0.798071461119783,1.0418118466898947,-0.24374038557011168,89,69,94,
6,1,0.7540705875770931,1.1428710178710162,-0.3888004302939231,68,94,90,
7,1,0.7780680294804319,1.1421447411803505,-0.3640767116999186,82,95,75,
8,1,0.8859310442200069,1.1865838509316755,-0.3006528067116686,91,80,81,
9,1,0.892788185371348,1.018533045695235,-0.1257448603238871,87,95,70,
10,1,0.8194237130456378,1.1897516752069364,-0.3703279621612986,79,84,89,
11,1,0.7582079911143879,1.1416999104453316,-0.38349191933094373,87,87,78,
12,1,0.7872386275451273,1.0949703458368638,-0.3077317182917365,87,75,90,
13,1,0.8133443163497421,1.282262030207235,-0.4689177138574928,111,70,71,
14,1,0.9969736590956915,1.2613323871196658,-0.2643587280239743,98,79,75,
15,1,0.699632687014526,1.1325028312570793,-0.4328701442425533,91,81,80,
16,1,0.8040534072229353,1.133113778816533,-0.3290603715935978,105,64,83,
17,1,0.8331583714145229,1.1234073534765194,-0.29024898206199656,82,84,86,
18,1,0.8176274766647653,1.1451295506723511,-0.3275020740075858,88,77,87,
19,1,0.7547375211981561,0.9876069206842906,-0.2328693994861345,70,93,89,
20,1,0.935244897504862,1.0865177346658847,-0.1512728371610228,75,85,92,
21,1,0.7572081095811878,1.1191119464348642,-0.36190383685367644,85,86,81,
22,1,0.8581196146271214,1.1206094334458552,-0.2624898188187338,89,74,89,
23,1,0.7777640982871237,1.2441442422921885,-0.4663801440050648,74,86,92,
24,1,0.8133913491588488,1.2862274588691704,-0.47283610971032164,80,88,84,
25,1,0.77473167260139,1.0394229395800603,-0.2646912669786703,78,73,101,
26,1,0.7885039001536264,1.1476172354010752,-0.3591133352474488,75,86,91,
27,1,0.7214360056274449,1.0438399467598383,-0.32240394113239335,68,94,90,
28,1,0.8312556659327521,1.0340478080620945,-0.20279214212934238,80,68,104,
29,1,0.8492302859176286,1.1234073534765194,-0.2741770675588908,69,88,95,
30,1,0.7331363386608564,1.078694982017471,-0.34555864335661457,93,63,96,
31,1,0.6800965195335626,1.1013739946380705,-0.42127747510450786,81,66,105,
32,1,1.0253843053918612,0.5953554310403022,0.430028874351559,79,74,99,
33,1,0.8789611838895413,1.109170305676858,-0.23020912178731678,109,68,75,
34,1,0.688419498764217,1.0485298529852978,-0.36011035422108073,108,64,80,
35,1,0.858036516066099,1.126229012252306,-0.268192496186207,106,67,79,
36,1,0.7585331093500172,1.197928939046318,-0.43939582969630075,98,67,87,
37,1,0.7625867142635354,1.220218143123175,-0.4576314288596395,111,68,73,
38,1,0.8863988927976558,1.1090677966101716,-0.2226689038125158,119,62,71,
39,1,0.8742426194802669,1.359976525821598,-0.48573390634133096,118,71,63,
40,1,0.6791006194350798,1.1842627568986517,-0.5051621374635719,119,73,60,
41,1,0.8055601891384174,1.1021990863699163,-0.29663889723149883,85,81,86,
42,1,0.8528493647752401,1.1545399393326585,-0.30169057455741843,90,83,79,
43,1,0.8264546892314932,1.2022185970636208,-0.37576390783212754,109,68,75,
44,1,1.0219311103861937,1.2613323871196658,-0.2394012767334721,100,91,61,
