Episode,NumStateVars,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,Strategy Wins (%)
1,2,0.7318295477399552,1.1973819099440095,-0.46555236220405427,82,79,91,
2,2,0.7536246973341586,1.1283972264286286,-0.37477252909447,88,75,89,
3,2,0.9177795387024497,0.7110284221360138,0.20675111656643586,87,65,100,
4,2,0.9124310286094688,0.9245686772769829,-0.0121376486675141,90,75,87,
5,2,0.8766060633928157,1.0418118466898947,-0.16520578329707902,89,69,94,
6,2,0.9076955038762937,1.1428710178710162,-0.23517551399472247,68,94,90,
7,2,0.671147408437272,1.1421447411803505,-0.4709973327430784,82,95,75,
8,2,0.8037854637184121,1.1865838509316755,-0.3827983872132634,91,80,81,
9,2,0.8034303105645297,1.018533045695235,-0.21510273513070532,87,95,70,
10,2,0.8340881262391927,1.1897516752069364,-0.35566354896774366,79,84,89,
11,2,0.7842236787611829,1.1416999104453316,-0.35747623168414866,87,87,78,
12,2,0.7509219031512726,1.0949703458368638,-0.3440484426855912,87,75,90,
13,2,0.793476104976963,1.282262030207235,-0.488785925230272,111,70,71,
14,2,0.6399660643924512,1.2613323871196658,-0.6213663227272146,98,79,75,
15,2,0.770758388895586,1.1325028312570793,-0.3617444423614933,91,81,80,
16,2,0.9732331096233845,1.133113778816533,-0.15988066919314858,105,64,83,
17,2,0.8654563971917435,1.1234073534765194,-0.25795095628477593,80,88,84,
18,2,0.8305739115178883,1.1451295506723511,-0.31455563915446283,85,78,89,
19,2,0.7374053810244924,0.9876069206842906,-0.2502015396597982,66,97,89,
20,2,0.7541103979831622,1.0865177346658847,-0.3324073366827226,72,90,90,
21,2,0.7997039980193714,1.1191119464348642,-0.3194079484154928,81,99,72,
22,2,1.0162464253473729,1.1206094334458552,-0.10436300809848231,87,91,74,
23,2,0.685791839253728,1.2441442422921885,-0.5583524030384605,73,102,77,
24,2,0.8456445792059202,1.2862274588691704,-0.44058287966325027,81,98,73,
25,2,0.8095713202358754,1.0394229395800603,-0.22985161934418485,80,90,82,
26,2,0.6707668482090311,1.1476172354010752,-0.4768503871920441,76,101,75,
27,2,0.7973885964954505,1.0438399467598383,-0.2464513502643878,69,117,66,
28,2,0.8796950798438838,1.0340478080620945,-0.15435272821821067,85,88,79,
29,2,0.785243243668058,1.1234073534765194,-0.33816410980846145,65,104,83,
30,2,0.792458580581367,1.078694982017471,-0.28623640143610396,90,83,79,
31,2,0.8036535153869733,1.1013739946380705,-0.29772047925109724,81,91,80,
32,2,0.5510780268796237,0.5953554310403022,-0.04427740416067849,83,90,79,
33,2,0.7612627311861228,1.109170305676858,-0.3479075744907353,84,93,75,
34,2,0.7334794803477509,1.0485298529852978,-0.31505037263754687,83,89,80,
35,2,0.7646726394064571,1.126229012252306,-0.36155637284584885,81,92,79,
36,2,0.715807371034785,1.197928939046318,-0.48212156801153294,81,84,87,
37,2,0.7659418751042775,1.220218143123175,-0.4542762680188974,92,91,69,
38,2,0.9024535441413729,1.1090677966101716,-0.20661425246879872,95,87,70,
39,2,0.6926094535120925,1.359976525821598,-0.6673670723095054,86,107,59,
40,2,0.791638837484907,1.1842627568986517,-0.39262391941374464,95,98,59,
41,2,0.8745584215788318,1.1021990863699163,-0.22764066479108447,67,103,82,
42,2,0.7687302100909982,1.1545399393326585,-0.38580972924166035,55,118,79,
43,2,0.810042854569723,1.2022185970636208,-0.39217574249389775,79,98,75,
44,2,0.8137331068891219,1.2613323871196658,-0.44759928023054385,65,126,61,
45,2,0.90996495262547,0.9395355324639086,-0.029570579838438693,79,115,58,
