Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,Strategy Wins (%)
1,13,0,0,250,1.0277973264133495,1.2421944332392076,-0.2143971068258581,82,79,91,
2,13,0,0,250,1.1084022785004095,1.1443714895973398,-0.0359692110969303,88,75,89,
3,13,0,0,250,0.809294654416289,0.7802976612331675,0.028996993183121544,87,65,100,
4,13,0,0,250,0.8630080624327312,0.8910327686572053,-0.02802470622447406,90,75,87,
5,13,0,0,250,0.8974167751506208,1.169179823783337,-0.2717630486327163,87,71,94,
6,13,0,0,250,0.9882141792198395,1.1548676793732693,-0.16665350015342983,68,94,90,
7,13,0,0,250,1.0965200274506113,1.1350630455868098,-0.03854301813619854,81,96,75,
8,13,0,0,250,0.9662463993430674,1.1816890819480415,-0.215442682604974,91,80,81,
9,13,0,0,250,0.8575502174035249,0.9990366088631993,-0.14148639145967445,85,96,71,
10,13,0,0,250,0.9760491234666782,1.1291615289765726,-0.15311240550989447,79,84,89,
11,13,0,0,250,0.9129159002720361,1.1729766859267043,-0.2600607856546683,87,87,78,
12,13,0,0,250,1.0589522731455867,1.1927473393772177,-0.13379506623163095,87,75,90,
13,13,0,0,250,1.0448204030359372,1.1860710285300116,-0.1412506254940744,111,70,71,
14,13,0,0,250,0.8813103309142891,1.2544424414112767,-0.3731321104969876,98,79,75,
15,13,0,0,250,0.9223642518897518,1.112904944586531,-0.1905406926967793,91,81,80,
16,13,0,0,250,0.9474190630225868,1.0509980039920181,-0.10357894096943132,104,65,83,
17,13,0,0,250,0.8478807172945092,1.0905280057081694,-0.24264728841366023,82,89,81,
18,13,0,0,250,0.9338990685149763,1.0958065185800303,-0.16190745006505403,83,83,86,
19,13,0,0,250,0.9604167682958322,0.9775889084089079,-0.017172140113075662,72,96,84,
20,13,0,0,250,0.9252974372218041,1.0890695740552532,-0.16377213683344904,76,95,81,
21,13,0,0,250,1.110428266281429,1.1462807172902396,-0.035852451008810515,83,96,73,
22,13,0,0,250,0.8428463915415397,1.181044735156897,-0.33819834361535717,92,84,76,
23,13,0,0,250,1.0810528639290313,1.1840285055543907,-0.10297564162535933,71,94,87,
24,13,0,0,250,0.9107089060493544,1.2605977327378908,-0.3498888266885364,84,89,79,
25,13,0,0,250,0.9745535653554722,1.0225171172443006,-0.04796355188882839,85,78,89,
26,13,0,0,250,0.985797901011638,1.1031260618416596,-0.11732816083002162,73,87,92,
27,13,0,0,250,0.9215505473408301,1.1099650498678726,-0.1884145025270425,69,101,82,
28,13,0,0,250,0.9881633621575742,1.047108652433226,-0.058945290275651874,80,81,91,
29,13,0,0,250,1.0308597290565389,1.0905280057081694,-0.05966827665163055,65,93,94,
30,13,0,0,250,0.9243895512375867,1.0600975448458296,-0.13570799360824293,89,67,96,
31,13,0,0,250,1.0174284793583634,1.2226955497144942,-0.2052670703561308,85,79,88,
32,13,0,0,250,0.8085447600230512,0.653640940858195,0.15490381916485618,80,84,88,
33,13,0,0,250,0.9172426940842622,1.1108642758912506,-0.1936215818069884,97,75,80,
34,13,0,0,250,1.1284790592935887,1.0018946570670704,0.12658440222651834,84,73,95,
35,13,0,0,250,0.9322172597936355,1.117612935972736,-0.18539567617910058,80,80,92,
36,13,0,0,250,0.9367105786079232,1.1642477876106212,-0.22753720900269803,84,72,96,
37,13,0,0,250,1.156454638554906,1.152896018896707,0.003558619658198925,92,74,86,
38,13,0,0,250,1.1754759119187859,1.0474476987447705,0.12802821317401536,99,67,86,
39,13,0,0,250,0.9243133042483077,1.375162779685097,-0.4508494754367892,93,85,74,
40,13,0,0,250,1.05923282665312,1.1605111899229557,-0.10127836326983575,100,81,71,
41,13,0,0,250,1.037758420662624,1.1236596425713532,-0.08590122190872918,67,93,92,
42,13,0,0,250,0.871172543294455,1.16908367814245,-0.29791113484799503,74,87,91,
43,13,0,0,250,1.1813774686273042,1.2157128125805645,-0.03433534395326032,86,76,90,
44,13,0,0,250,1.2978952405876862,1.2544424414112767,0.04345279917640954,72,100,80,
45,13,0,0,250,1.0377800732966227,0.9229955014554119,0.11478457184121083,88,80,84,
46,13,0,0,250,0.8973837556815883,1.220273215329825,-0.3228894596482367,80,86,86,
47,13,0,0,250,1.1193313675745926,1.2339567700750378,-0.11462540250044517,91,81,80,
48,13,0,0,250,0.7273507180083485,0.6275170139619723,0.09983370404637615,87,72,93,
49,13,0,0,250,1.8041054676940411,0.5446700836955805,1.2594353839984607,74,77,101,
50,13,0,0,250,1.0915869207487838,1.1925137099859737,-0.1009267892371899,67,74,111,
51,13,0,0,250,1.0354212053079859,1.0719696969696964,-0.03654849166171048,70,78,104,
52,13,0,0,250,1.0701390973588865,1.0113899613899624,0.05874913596892406,73,85,94,
53,13,0,0,250,1.1023175495635413,1.1099622191290497,-0.007644669565508355,75,84,93,
54,13,0,0,250,1.1631900917055196,1.0905364853985198,0.0726536063069998,76,97,79,
