Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,Strategy Wins (%)
1,19,0,0,250,0.9960110059091044,1.0141501717650903,-0.01813916585598585,81,80,91,
2,19,0,0,250,0.8828009299802407,1.1895867171990644,-0.30678578721882366,88,75,89,
3,19,0,0,250,0.8927104655552086,1.2277714718123351,-0.33506100625712654,87,65,100,
4,19,0,0,250,1.0163292543181104,1.127036581616968,-0.11070732729885768,91,76,85,
5,19,0,0,250,1.1244449440549362,1.0685524606725338,0.05589248338240238,88,70,94,
6,19,0,0,250,0.9427485017955405,1.0645372186420128,-0.1217887168464723,68,94,90,
7,19,0,0,250,0.992813245367574,1.2013729977116712,-0.20855975234409718,80,96,76,
8,19,0,0,250,0.8173933930984735,0.9089187653853434,-0.09152537228686997,90,80,82,
9,19,0,0,250,0.9462783243194622,1.0618036414457082,-0.11552531712624592,85,96,71,
10,19,0,0,250,0.927514095917476,0.9229955014554119,0.004518594462064152,76,84,92,
11,19,0,0,250,0.8481038275431364,1.1270085470085476,-0.2789047194654112,83,90,79,
12,19,0,0,250,0.9191039191249365,1.1427581747644564,-0.2236542556395199,87,75,90,
13,19,0,0,250,0.9886581770692462,1.058041782028694,-0.06938360495944784,110,68,74,
14,19,0,0,250,0.8912201994176604,1.1006648416112645,-0.20944464219360415,92,83,77,
15,19,0,0,250,0.9811845766418588,1.111089957163254,-0.12990538052139522,89,81,82,
16,19,0,0,250,1.1545189991767464,1.1242841204908876,0.030234878685858835,98,68,86,
17,19,0,0,250,0.6568950666589121,1.1413807798849345,-0.4844857132260224,82,90,80,
18,19,0,0,250,0.9159056444453623,0.9853446986690596,-0.06943905422369734,82,87,83,
19,19,0,0,250,0.8015859390073465,0.9999999999999991,-0.19841406099265257,72,98,82,
20,19,0,0,250,1.016038717392782,1.2500110546097714,-0.2339723372169893,76,95,81,
21,19,0,0,250,0.9627345565536229,1.0937956559851951,-0.13106109943157218,86,93,73,
22,19,0,0,250,0.7851450578950481,0.6937412869616245,0.09140377093342356,93,81,78,
23,19,0,0,250,1.0581286333412232,0.5446700836955805,0.5134585496456427,75,90,87,
24,19,0,0,250,0.977453514114072,1.0699979562640523,-0.09254444214998025,82,89,81,
25,19,0,0,250,1.7130312776846643,1.1940644307149182,0.5189668469697462,80,82,90,
26,19,0,0,250,1.2207914579106796,1.120216503655873,0.10057495425480645,71,101,80,
27,19,0,0,250,1.2309583793179555,1.1405438560621546,0.0904145232558009,75,98,79,
28,19,0,0,250,1.0772229681716794,0.9703425621773808,0.1068804059942986,90,78,84,
